	network	station	channel	starttime	endtime	stla	stlo	stel
178	NS	N161	HH	2017-01-01 0:00	2099-12-31 0:00	35.61751	129.447041	43
179	NS	N162	HH	2017-01-01 0:00	2099-12-31 0:00	35.570509	128.947747	402
180	NS	N163	HH	2017-01-01 0:00	2099-12-31 0:00	35.541285	129.012723	370
181	NS	N164	HH	2017-01-01 0:00	2099-12-31 0:00	35.568847	129.402357	238
182	NS	N165	HH	2017-01-01 0:00	2099-12-31 0:00	35.571207	129.451294	35
183	NS	N166	HH	2017-01-01 0:00	2019-12-22 0:00	35.531394	129.007525	370
184	NS	N166	HH	2019-12-23 0:00	2022-01-18 0:00	35.57641	129.025167	370
185	NS	N166	HH	2022-01-19 0:00	2099-12-31 0:00	35.570395	129.007641	656
186	NS	N167	HH	2017-01-01 0:00	2099-12-31 0:00	35.527274	129.232709	129
187	NS	N168	HH	2017-01-01 0:00	2099-12-31 0:00	35.554172	129.33728	40
188	NS	N169	HH	2017-01-01 0:00	2099-12-31 0:00	35.543722	129.447139	171
189	NS	N170	HH	2017-01-01 0:00	2099-12-31 0:00	35.883572	129.384025	259
190	NS	N171	HH	2017-01-01 0:00	2099-12-31 0:00	35.843602	129.503197	56
191	NS	N172	HH	2017-01-01 0:00	2099-12-31 0:00	35.657133	129.336058	67
192	NS	N173	HH	2017-01-01 0:00	2099-12-31 0:00	36.000884	129.044716	127
193	NS	N174	HH	2017-01-01 0:00	2099-12-31 0:00	35.997386	129.098219	204
194	NS	N175	HH	2017-01-01 0:00	2022-01-04 0:00	36.0064	129.206	84
195	NS	N175	HH	2022-01-05 0:00	2099-12-31 0:00	36.010714	129.202295	84
196	NS	N176	HH	2017-01-01 0:00	2099-12-31 0:00	36.006374	129.205946	84
197	NS	N177	HH	2017-01-01 0:00	2099-12-31 0:00	35.992756	129.302032	43
198	NS	N178	HH	2017-01-01 0:00	2019-09-06 0:00	35.973862	129.046517	164
199	NS	N178	HH	2019-09-07 0:00	2099-12-31 0:00	35.970597	129.047793	164
200	NS	N179	HH	2017-01-01 0:00	2099-12-31 0:00	35.969105	129.152109	100
201	NS	N180	HH	2017-01-01 0:00	2099-12-31 0:00	35.971727	129.365034	49
202	NS	N181	HH	2017-01-01 0:00	2099-12-31 0:00	35.968696	129.455354	81
203	NS	N182	HH	2017-01-01 0:00	2099-12-31 0:00	35.962438	129.542308	39
204	NS	N183	HH	2017-01-01 0:00	2099-12-31 0:00	35.938292	129.396705	77
205	NS	N184	HH	2017-01-01 0:00	2099-12-31 0:00	35.918699	129.351122	212
206	NS	N185	HH	2017-01-01 0:00	2099-12-31 0:00	35.896979	129.447429	116
207	NS	N186	HH	2017-01-01 0:00	2099-12-31 0:00	35.876347	129.512498	37
208	NS	N187	HH	2017-01-01 0:00	2099-12-31 0:00	35.834001	128.953227	377
209	NS	N188	HH	2017-01-01 0:00	2099-12-31 0:00	35.798797	129.49255	51
210	NS	N189	HH	2017-01-01 0:00	2022-01-09 0:00	35.7208	129.375	449
211	NS	N189	HH	2022-01-10 0:00	2099-12-31 0:00	35.726235	129.374978	473
212	NS	N190	HH	2017-01-01 0:00	2099-12-31 0:00	35.706829	128.951895	181
213	NS	N191	HH	2017-01-01 0:00	2099-12-31 0:00	35.681851	129.464197	39
214	NS	N192	HH	2017-01-01 0:00	2099-12-31 0:00	35.667895	128.917146	157
215	NS	N193	HH	2017-01-01 0:00	2099-12-31 0:00	35.585472	128.97066	336
216	NS	N194	HH	2017-01-01 0:00	2099-12-31 0:00	35.608273	129.426973	54
217	NS	N195	HH	2017-01-01 0:00	2099-12-31 0:00	35.557451	129.066322	291
218	NS	N196	HH	2017-01-01 0:00	2099-12-31 0:00	35.567675	129.252108	46
219	NS	N197	HH	2017-01-01 0:00	2099-12-31 0:00	35.582054	129.36122	46
220	NS	N198	HH	2017-01-01 0:00	2099-12-31 0:00	35.534095	128.95037	207
221	NS	N199	HH	2017-01-01 0:00	2022-01-12 0:00	35.53257	129.2995	65
222	NS	N199	HH	2022-01-13 0:00	2099-12-31 0:00	35.519584	129.30279	49
223	NS	N200	HH	2017-01-01 0:00	2099-12-31 0:00	35.54641	129.3851	49
224	NS	N201	HH	2022-05-01 0:00	2099-12-31 0:00	35.606793	129.415265	71
225	NS	N202	HH	2022-05-01 0:00	2099-12-31 0:00	35.495482	129.141557	144
226	NS	N203	HH	2022-05-01 0:00	2099-12-31 0:00	35.443028	129.235846	106
227	NS	N204	HH	2022-05-01 0:00	2099-12-31 0:00	35.424149	129.312779	42
228	NS	N205	HH	2022-05-01 0:00	2099-12-31 0:00	35.500102	128.995809	277
229	NS	N206	HH	2022-05-01 0:00	2099-12-31 0:00	35.433467	129.071073	93
230	NS	N207	HH	2022-05-01 0:00	2099-12-31 0:00	35.424012	129.175429	125
231	NS	N208	HH	2022-05-01 0:00	2099-12-31 0:00	35.384035	129.261267	165
232	NS	N209	HH	2022-05-01 0:00	2099-12-31 0:00	35.358233	129.33452	33
233	NS	N210	HH	2022-05-01 0:00	2099-12-31 0:00	35.488074	128.879439	166
234	NS	N211	HH	2022-05-01 0:00	2099-12-31 0:00	35.43774	128.952303	202
235	NS	N212	HH	2022-05-01 0:00	2099-12-31 0:00	35.343644	129.07473	141
236	NS	N213	HH	2022-05-01 0:00	2099-12-31 0:00	35.295605	129.20036	107
237	NS	N214	HH	2022-05-01 0:00	2099-12-31 0:00	35.409536	128.853405	45
238	NS	N215	HH	2022-05-01 0:00	2099-12-31 0:00	35.363526	128.972892	74
239	NS	N216	HH	2022-05-01 0:00	2099-12-31 0:00	35.303926	129.04281	292
240	NS	N217	HH	2022-05-01 0:00	2099-12-31 0:00	35.215386	129.196391	78
241	NS	N218	HH	2022-05-01 0:00	2099-12-31 0:00	35.249026	128.933567	150
242	NS	N219	HH	2022-05-01 0:00	2099-12-31 0:00	35.181103	129.001672	183
243	NS	N220	HH	2022-05-01 0:00	2099-12-31 0:00	35.119051	129.092984	139
