Table S1. The Gyeongju Hi-density Broadband Seismic Network (GHBSN) catalog,,,,,
EventID,Origin Time (UTC),Latitude (N),Longitude (E),Depth (km),Magnitude (ML)
142,2018-05-26T21:32:35.435,35.7637,129.1941,14.9,0.3
143,2018-05-27T01:37:45.954,35.7608,129.1687,15.2,0.4
144,2018-05-27T17:54:36.942,35.7865,129.2085,13.2,0.3
145,2018-05-28T05:29:06.354,35.7709,129.1786,14.3,1.9
146,2018-05-28T17:10:37.771,35.7666,129.1855,12.8,0.1
147,2018-05-28T20:36:13.472,35.7717,129.181,14.3,0.9
148,2018-06-01T13:14:09.147,35.763,129.1881,13.4,0.5
149,2018-06-03T23:33:14.311,35.7642,129.1959,15.7,1.2
150,2018-06-04T01:50:05.473,35.7726,129.1958,13.1,1
151,2018-06-04T21:34:29.054,35.7782,129.196,14,0.5
152,2018-06-06T13:20:05.219,35.9067,129.5713,18.5,1.1
153,2018-06-08T05:22:05.126,35.7605,129.1933,16.3,0.4
154,2018-06-09T05:35:01.712,35.7592,129.1719,14.9,0.7
155,2018-06-09T08:38:47.241,35.8742,129.726,19.5,2.6
156,2018-06-09T18:46:53.878,35.7746,129.1959,12.6,0.2
157,2018-06-09T19:10:27.293,35.7743,129.1982,13.1,-0.4
158,2018-06-12T15:06:58.870,35.7641,129.1927,16.6,0.7
159,2018-06-12T17:36:57.616,35.7613,129.1827,14.9,0.7
160,2018-06-12T17:50:57.492,35.7789,129.2006,13.6,0.3
161,2018-06-13T01:56:00.071,35.8126,129.4327,14.5,1.2
162,2018-06-14T21:12:25.165,35.7634,129.1954,13.3,0.3
163,2018-06-15T18:01:57.024,35.7098,129.3567,10.9,0.7
164,2018-06-15T23:12:52.597,35.7394,129.1804,14,0.6
165,2018-06-16T18:42:46.688,35.7271,129.4048,11.5,0.8
166,2018-06-17T19:58:18.932,35.7252,129.4049,11.8,0.8
167,2018-06-18T04:59:16.990,35.7237,129.336,4.8,0.9
