Table S1. The Gyeongju Hi-density Broadband Seismic Network (GHBSN) catalog,,,,,
EventID,Origin Time (UTC),Latitude (N),Longitude (E),Depth (km),Magnitude (ML)
2635,2020-06-15T07:39:04.871,35.5783,129.2604,9.7,0.7
2636,2020-06-15T13:56:31.943,35.7202,129.4016,3.7,-0.5
2637,2020-06-15T13:56:31.921,35.7212,129.3916,3.6,-0.4
2638,2020-06-15T16:21:01.085,35.7612,129.1912,13.7,-0.6
2639,2020-06-15T18:31:05.516,35.7763,129.1973,14,-0.5
2640,2020-06-16T03:01:06.113,35.9912,129.5238,3.1,1.3
2641,2020-06-16T03:22:42.924,35.9745,129.2752,4.1,0.7
2642,2020-06-16T03:24:37.744,35.9303,129.2021,3.4,0.2
2643,2020-06-16T06:43:00.111,35.7866,129.3758,15.3,0.1
2644,2020-06-16T09:09:52.049,35.7676,129.1901,13.8,0.1
2645,2020-06-16T17:46:50.680,36.0671,129.3334,6.5,0
2646,2020-06-16T20:16:37.069,35.7125,129.3929,5.8,-0.1
2647,2020-06-17T03:23:54.101,35.9413,129.9179,18.9,1.1
2648,2020-06-17T03:35:34.584,36.0205,129.2726,7.2,0.7
2649,2020-06-17T16:54:22.005,35.657,129.5698,19.3,0.2
2650,2020-06-17T18:47:04.768,35.8583,129.1019,11.9,-0.4
2651,2020-06-17T21:20:30.549,35.7403,129.4822,9.8,-0.3
2652,2020-06-18T02:03:54.201,35.9337,129.5653,13.9,0.4
2653,2020-06-18T04:11:47.306,35.8354,129.3578,12.8,0.6
2654,2020-06-18T13:22:41.717,35.7605,129.1884,12.8,0.6
2655,2020-06-18T18:42:14.900,35.5411,129.7692,19.7,0.7
2656,2020-06-18T21:02:31.386,35.7535,129.5204,17.1,0.2
2657,2020-06-18T22:31:23.845,35.8448,129.6978,17.5,0.6
2658,2020-06-19T02:54:15.242,35.4356,129.1888,9.5,1.2
2659,2020-06-19T03:03:26.926,36.0556,129.1109,3.5,0.8
2660,2020-06-19T15:04:00.520,35.912,129.1144,5.6,-0.5
2661,2020-06-20T01:39:17.134,35.7656,129.1971,13.7,0.2
2662,2020-06-20T03:11:58.619,35.9964,129.1417,3.6,0.6
2663,2020-06-21T03:21:36.035,35.7004,129.8407,16.5,1.1
2664,2020-06-21T06:06:16.096,35.567,129.5398,12.1,0.9
2665,2020-06-21T12:54:13.346,36.0095,129.6393,13.4,0.2
2666,2020-06-22T03:21:05.841,35.9576,128.7213,10.6,0.9
2667,2020-06-22T06:25:26.138,35.9365,128.8787,10.5,0.5
2668,2020-06-22T21:43:17.966,35.8276,129.7755,20.1,1.8
2669,2020-06-23T02:55:26.939,35.7534,128.8675,2.4,0.4
2670,2020-06-23T03:27:41.761,35.698,129.3249,10.2,-0.2
2671,2020-06-23T03:40:54.586,35.9812,129.1756,3.6,0.4
2672,2020-06-23T03:43:33.391,35.9629,129.1615,3.2,0.2
2673,2020-06-23T03:50:01.071,35.767,129.1734,15.8,0
2674,2020-06-23T15:52:10.649,35.8158,129.3147,13.7,-0.3
2675,2020-06-24T00:53:55.545,35.547,129.2904,7,0.9
2676,2020-06-24T07:07:13.257,35.6277,129.2132,3.3,0.8
2677,2020-06-25T03:08:55.235,35.8626,129.4577,0,0.5
2678,2020-06-25T13:31:40.603,35.7687,129.1973,13.9,-0.2
2679,2020-06-25T14:36:20.751,36.2299,129.5862,15.4,0.6
2680,2020-06-25T16:12:21.141,35.7391,129.2993,10.4,-0.5
2681,2020-06-25T21:45:05.321,35.7316,129.4159,13.2,0.3
2682,2020-06-25T22:20:30.073,35.8044,129.6907,14.4,0.7
2683,2020-06-26T02:51:46.701,35.9491,128.7971,7.5,0.8
2684,2020-06-26T09:49:59.397,35.7735,129.1879,12.8,0.2
2685,2020-06-26T12:22:10.062,35.6872,129.5536,15.5,0.3
2686,2020-06-26T15:57:13.961,35.504,128.8892,17.2,-0.2
2687,2020-06-26T16:03:40.925,35.6884,129.5522,15.6,0
2688,2020-06-26T18:03:32.812,35.7281,129.3658,10.2,-0.4
2689,2020-06-27T01:59:45.739,36.0006,129.6139,11.2,0.7
2690,2020-06-27T06:13:52.424,35.8135,129.7466,14,0.7
2691,2020-06-27T18:18:09.803,35.7243,129.3713,13.1,-0.3
2692,2020-06-27T20:26:15.615,35.778,129.1953,12.5,-0.5
2693,2020-06-28T09:30:25.489,36.0556,129.3353,13.2,0.3
2694,2020-06-28T15:10:14.140,35.7742,129.2016,14,-0.4
2695,2020-06-28T19:14:00.955,35.5692,128.9337,14.3,-0.4
2696,2020-06-28T19:50:11.543,36.1126,128.9511,17.1,1.3
2697,2020-06-29T03:04:15.838,35.5656,129.1046,3.7,0.2
2698,2020-06-30T02:25:56.735,35.9731,128.9139,12.4,0.1
2699,2020-07-01T23:39:24.384,35.9363,128.8837,11.1,0.2
2700,2020-07-02T08:59:20.106,35.9769,128.9033,13.5,0.6
2701,2020-07-02T09:00:20.975,35.9749,128.9132,12.3,-0.1
2702,2020-07-02T10:29:35.369,35.7603,129.3939,14.1,0.1
2703,2020-07-02T16:14:40.455,35.905,129.4464,6.5,-0.2
2704,2020-07-02T17:46:27.670,35.8984,129.2341,24.6,0
2705,2020-07-02T21:05:09.969,35.7921,129.3869,14.6,0
2706,2020-07-03T03:23:22.142,35.9046,129.2424,8.3,0.6
2707,2020-07-03T03:39:26.638,36.0062,129.2157,3.6,0.6
2708,2020-07-03T11:24:39.898,36.0392,128.7294,18,0.3
2709,2020-07-03T12:42:02.748,35.5761,128.9378,18,1.2
2710,2020-07-04T07:06:35.250,35.6348,129.2238,4.4,0.8
2711,2020-07-04T17:24:46.398,35.625,129.5978,17.3,0.2
2712,2020-07-04T18:57:08.127,35.7809,129.1886,12.9,0.3
2713,2020-07-04T19:54:05.224,35.6356,129.4221,16.9,-0.2
2714,2020-07-05T00:12:15.698,35.7396,129.3946,15.1,0
2715,2020-07-05T03:22:15.327,35.7786,129.2051,14.5,0.2
2716,2020-07-05T03:23:10.663,35.7061,129.3647,12.4,0
2717,2020-07-05T13:57:29.222,35.8483,129.7393,15.4,0.3
2718,2020-07-05T16:03:56.194,35.8948,129.7309,17.2,1.1
2719,2020-07-05T17:40:37.745,35.7873,129.1935,13.2,0.5
2720,2020-07-06T20:17:29.617,35.6756,129.6144,18.9,0.4
2721,2020-07-07T12:20:00.783,35.7129,129.3982,5.5,0.1
2722,2020-07-07T13:07:02.098,35.763,129.1853,12.9,0.3
2723,2020-07-07T17:25:04.557,35.9936,129.6059,10.3,0.3
2724,2020-07-09T02:33:35.033,35.8506,129.0144,3.3,0.6
2725,2020-07-09T02:55:28.159,35.5482,129.1043,3.6,0.4
2726,2020-07-10T10:08:45.390,36.1304,129.3129,14.3,0.3
2727,2020-07-10T16:57:07.634,35.7594,129.1921,15.1,-0.1
2728,2020-07-10T19:39:33.838,35.5229,128.8856,15.2,-0.3
2729,2020-07-11T05:20:08.154,35.9068,129.1716,4.7,-0.4
2730,2020-07-11T18:58:57.077,35.7712,129.202,13.2,-0.4
2731,2020-07-11T22:29:23.277,35.7261,129.411,15.8,-0.1
2732,2020-07-12T03:04:11.887,35.9987,129.2251,9.9,1
2733,2020-07-13T21:03:08.508,35.742,129.0385,4.5,0.2
2734,2020-07-13T22:55:59.535,35.779,129.2043,13.9,0.3
2735,2020-07-14T04:45:17.503,35.7873,129.3172,9.7,0
2736,2020-07-14T06:21:04.604,35.5128,129.3185,9.6,0.3
2737,2020-07-14T16:30:30.594,35.7753,129.1834,13.7,-0.3
2738,2020-07-15T03:07:47.164,35.5508,129.1107,2.6,0.4
2739,2020-07-15T11:54:55.635,35.6738,129.517,17.9,0.6
2740,2020-07-15T22:17:09.701,35.7983,129.4481,17,0.1
2741,2020-07-15T22:29:58.933,35.5339,129.708,15.4,1.3
2742,2020-07-16T03:30:02.146,35.7868,129.3129,9.1,0
2743,2020-07-16T04:41:41.590,35.763,129.1924,13.3,0
2744,2020-07-16T06:33:47.551,35.5607,129.2963,10.8,0.8
2745,2020-07-16T10:48:05.320,35.8526,129.7261,15.7,0.8
2746,2020-07-16T11:56:20.191,35.7153,129.4182,14.5,-0.1
2747,2020-07-16T14:57:46.787,35.94,128.8824,10.5,0.2
2748,2020-07-17T02:47:47.726,35.6151,129.2064,9.4,1
2749,2020-07-17T04:25:56.243,35.8038,129.3445,7.2,0
2750,2020-07-17T06:02:56.449,35.7698,129.1985,14.2,0.1
2751,2020-07-18T02:52:58.166,35.4348,129.1893,9.6,1.5
2752,2020-07-18T07:52:48.450,36.0814,129.3367,8.5,1.4
2753,2020-07-18T11:14:49.250,35.7708,129.1939,12.6,0.3
2754,2020-07-18T11:37:21.129,35.7798,129.2032,14,0.5
2755,2020-07-19T10:18:03.353,35.7669,129.1969,13.7,0
2756,2020-07-20T18:46:03.354,35.8729,129.7251,18.7,0.4
2757,2020-07-22T10:03:08.574,36.0042,129.6647,10.5,0.4
2758,2020-07-22T15:20:56.230,35.8722,128.5099,10,2
2759,2020-07-23T01:47:04.705,35.5633,129.2823,6.4,1.3
2760,2020-07-23T06:54:36.910,35.7674,129.2036,15.3,0.3
2761,2020-07-24T14:43:13.404,35.8086,129.7612,20.6,1.1
2762,2020-07-24T22:00:20.689,35.8178,129.71,21.9,0.8
2763,2020-07-25T09:33:56.393,36.1346,129.3563,15.2,1.6
2764,2020-07-25T20:11:57.708,35.9409,128.8856,9.9,-0.4
2765,2020-07-25T20:21:48.904,35.7696,129.1958,15.5,1.1
2766,2020-07-25T23:07:05.285,35.7782,129.1842,12.7,0.7
2767,2020-07-26T05:45:54.703,35.9801,129.5025,2.3,1.2
2768,2020-07-26T10:00:28.985,35.8725,129.0809,6.4,0.2
2769,2020-07-26T14:44:53.276,35.7653,129.204,13.6,-0.3
2770,2020-07-27T02:41:18.034,35.7599,129.1997,15.2,0
2771,2020-07-27T04:51:01.614,35.6317,128.9712,8.5,-0.3
2772,2020-07-28T17:13:58.746,36.0998,129.353,7.5,1.4
2773,2020-07-29T08:49:38.299,35.8142,129.3114,11.2,0.8
2774,2020-07-29T14:53:59.748,35.7968,129.4159,12,0
2775,2020-07-29T16:16:46.246,35.7984,129.4149,14.9,-0.1
2776,2020-07-29T20:24:54.643,35.8082,129.427,14.6,0.1
2777,2020-07-30T01:05:52.938,35.7969,129.4117,11.7,0.4
2778,2020-07-30T10:45:49.081,35.7726,129.1987,13.8,0.1
2779,2020-07-31T15:50:24.337,36.132,129.3763,10.4,0.8
2780,2020-07-31T17:32:06.131,35.4824,128.949,16.3,-0.1
2781,2020-08-01T01:42:58.737,35.9405,128.8803,10.4,0
2782,2020-08-01T04:41:46.658,35.5928,128.7942,11,0.9
2783,2020-08-01T14:23:50.956,35.7703,129.3779,10.2,0.6
2784,2020-08-01T15:39:37.219,35.7876,129.4153,11.3,-0.3
2785,2020-08-01T17:28:32.235,35.6248,129.3562,8,-0.5
2786,2020-08-01T17:31:02.285,36.1188,129.3518,8.7,0.8
2787,2020-08-01T17:33:03.548,35.622,128.9776,12.1,-0.3
2788,2020-08-01T22:41:19.899,35.8317,129.3927,11.7,0.8
2789,2020-08-02T02:03:09.736,35.9403,129.6877,15.4,1.2
2790,2020-08-02T03:17:00.574,35.804,129.3858,14.6,0.2
2791,2020-08-02T17:17:55.460,35.7617,129.2046,14.5,-0.6
2792,2020-08-02T18:24:49.271,35.7775,129.3125,9.1,0.9
2793,2020-08-03T03:07:55.448,36.0201,129.2563,7.5,0.8
2794,2020-08-03T06:00:27.366,36.112,129.3528,13.9,0.9
2795,2020-08-03T12:20:20.244,35.4859,128.8727,13.5,0.1
2796,2020-08-03T16:15:18.575,35.8146,129.3265,4.1,0.1
2797,2020-08-04T01:09:28.604,35.7766,129.3125,8.9,1.2
2798,2020-08-04T05:34:24.247,35.7458,129.1902,7.5,-0.5
2799,2020-08-04T11:22:00.759,36.0055,129.2572,13.2,0.2
2800,2020-08-04T21:55:22.152,36.0781,129.3259,7.6,1.1
2801,2020-08-05T00:03:41.832,35.7881,129.1891,12.4,1
2802,2020-08-05T00:45:21.615,35.8022,129.3382,9.2,1.4
2803,2020-08-05T00:52:25.787,35.8013,129.3395,8.6,0.3
2804,2020-08-05T03:05:22.723,36.0795,129.3957,23.8,1.4
2805,2020-08-05T05:26:15.768,35.7497,129.3802,12.4,0.5
2806,2020-08-05T08:58:07.214,35.7846,129.3138,9.3,0
2807,2020-08-06T00:18:29.686,35.8639,129.2396,11.8,0.2
2808,2020-08-06T03:03:24.080,35.9914,129.2155,4.6,0.6
2809,2020-08-06T03:05:19.272,35.9662,129.3794,21.5,0.9
2810,2020-08-06T06:32:26.291,35.8661,128.5069,13.1,1.1
2811,2020-08-06T06:33:28.914,36.0711,129.3359,7.9,0.6
2812,2020-08-06T10:53:44.829,35.7604,129.1941,15,0.1
2813,2020-08-07T05:34:32.779,35.7111,129.3513,9.6,0.6
2814,2020-08-07T17:52:18.876,35.8436,129.7484,15.8,1
2815,2020-08-08T12:39:38.149,35.7771,129.3119,8.7,0.8
2816,2020-08-09T03:45:30.711,35.8864,129.1165,10.5,0.9
2817,2020-08-09T15:46:37.220,35.7673,129.1982,14.2,0.3
2818,2020-08-09T17:14:24.832,35.7858,129.2043,12.4,-0.3
2819,2020-08-09T18:08:55.269,35.7594,129.3628,11.1,0.4
2820,2020-08-09T22:16:56.257,35.5442,128.9337,13.4,-0.1
2821,2020-08-10T01:21:22.510,35.5193,129.2792,4.4,1.1
2822,2020-08-10T14:51:00.383,35.4969,129.5426,16.2,0.6
2823,2020-08-10T14:58:01.768,35.891,129.506,1.9,0.1
2824,2020-08-11T05:45:19.209,35.9407,128.8794,10.5,0.7
2825,2020-08-11T13:53:29.510,35.7324,129.4103,13.2,0
2826,2020-08-11T18:08:46.738,35.7869,129.302,9.4,0.8
2827,2020-08-11T19:37:09.364,35.7835,129.3137,2.8,-0.7
2828,2020-08-12T06:59:59.561,35.7649,129.2072,13.6,0
2829,2020-08-12T16:23:17.731,35.7151,129.4053,10,0.3
2830,2020-08-12T17:27:11.433,35.764,129.3844,9.7,-0.3
2831,2020-08-12T17:51:46.649,35.7135,129.4065,10.1,0
2832,2020-08-12T18:13:08.724,35.7295,129.3584,10.5,-0.1
2833,2020-08-12T19:00:11.131,35.7118,129.4081,10.2,-0.1
2834,2020-08-12T19:58:38.445,35.7152,129.4021,10.2,1
2835,2020-08-13T03:37:16.204,36.0067,129.2716,8.4,0.8
2836,2020-08-13T13:20:36.441,35.7649,129.193,14,0.3
2837,2020-08-13T15:32:38.533,35.7137,129.403,9.2,-0.3
2838,2020-08-13T17:58:03.263,35.7158,129.3509,9.6,0.5
2839,2020-08-13T22:27:41.487,35.7148,129.3513,9.5,0.4
2840,2020-08-14T01:52:55.677,35.6166,129.2348,4.6,0.8
2841,2020-08-14T22:28:47.050,35.7561,129.3758,12.2,0
2842,2020-08-15T06:48:03.747,35.9224,129.5076,42.1,0.8
2843,2020-08-15T09:58:51.367,35.7117,129.3517,10,0.4
2844,2020-08-15T11:16:00.132,35.7162,129.4018,9.8,0.5
2845,2020-08-15T19:46:25.635,35.7152,129.4079,10.5,-0.1
2846,2020-08-15T19:46:59.333,35.6897,129.4248,12.2,-0.2
2847,2020-08-16T11:31:15.792,35.7978,129.3931,13.2,0.8
2848,2020-08-16T21:55:54.674,35.7621,129.1814,12.8,2
2849,2020-08-16T23:26:40.109,35.7621,129.1831,12.9,0.8
2850,2020-08-16T23:43:03.213,35.7637,129.1858,12.8,0.1
2851,2020-08-17T03:53:22.685,35.7156,129.3516,9.8,0.6
2852,2020-08-18T12:46:02.190,35.7607,129.1883,12.7,0.3
2853,2020-08-18T13:51:57.801,35.774,129.1977,13.8,0.2
2854,2020-08-18T14:34:59.316,35.939,128.8786,10.5,0.7
2855,2020-08-18T20:08:50.865,35.7456,128.5811,12.3,0.9
2856,2020-08-18T20:48:28.757,35.7214,129.3488,8.8,-0.1
2857,2020-08-19T14:54:38.407,35.7885,129.31,8.3,-0.3
2858,2020-08-19T19:30:40.885,35.6898,129.3872,14.3,-0.2
2859,2020-08-20T03:48:29.727,35.7754,129.2049,12.2,-0.3
2860,2020-08-20T18:03:11.481,35.9659,129.2359,5.4,0
2861,2020-08-21T03:37:43.200,36.0004,129.2348,4,0.7
2862,2020-08-21T16:32:41.618,35.7653,129.196,15.2,0
2863,2020-08-22T01:12:04.851,35.2818,129.1391,26.1,1.1
2864,2020-08-22T03:08:33.066,35.9838,129.1866,5.6,0.4
2865,2020-08-22T08:04:44.991,35.7091,129.3862,16,0.3
2866,2020-08-22T13:11:53.145,35.6899,129.3732,11.3,-0.1
2867,2020-08-22T13:22:12.928,35.8502,129.0907,9.7,-0.4
2868,2020-08-22T14:05:50.334,35.7861,129.3134,9.4,-0.4
2869,2020-08-22T16:03:59.460,35.7088,128.9084,19.2,0.2
2870,2020-08-23T06:05:18.652,35.7571,129.1907,13.9,-0.2
2871,2020-08-23T12:22:43.845,35.6976,129.4096,7.2,-0.2
2872,2020-08-23T12:35:37.068,35.4795,128.8707,12.8,0
2873,2020-08-24T16:39:39.179,35.7705,129.1971,16.3,-0.1
2874,2020-08-24T17:38:14.670,36.1854,129.476,13.8,0.3
2875,2020-08-25T02:00:16.012,35.7577,129.3937,11.1,0.1
2876,2020-08-25T12:45:41.519,35.4558,128.8497,8,0
2877,2020-08-26T03:02:54.765,35.9553,128.7384,8.1,1
2878,2020-08-27T17:39:42.860,35.7573,129.3947,11.2,-0.1
2879,2020-08-28T17:29:03.600,35.9935,129.2603,13.1,-0.3
2880,2020-08-28T22:04:09.658,35.7643,129.1988,15.6,0
2881,2020-08-29T03:48:52.465,35.76,129.1951,14.3,-0.1
2882,2020-08-29T11:04:01.057,35.7441,129.3019,7.8,-0.1
2883,2020-08-29T17:01:51.267,35.7627,129.1997,14.7,-0.3
2884,2020-08-29T19:54:41.041,35.9375,128.887,10.1,0
2885,2020-08-31T00:51:00.488,35.7848,129.3113,8.8,0.6
2886,2020-08-31T02:21:19.465,35.668,129.366,12.9,0.8
2887,2020-08-31T08:47:15.093,35.7162,129.3954,3.8,-0.1
2888,2020-08-31T17:13:03.702,35.7646,129.2007,15.1,-0.1
2889,2020-09-01T00:29:50.211,35.7653,129.1929,12.6,0.4
2890,2020-09-01T04:43:22.865,35.7613,129.1999,15,0.2
2891,2020-09-03T12:50:20.659,35.8268,129.4116,14.1,-0.1
2892,2020-09-03T21:17:04.915,35.7817,129.1916,14.8,0
2893,2020-09-04T07:48:23.685,35.7707,129.1959,12.8,0.1
2894,2020-09-05T15:06:47.330,35.7932,129.8828,13.8,0.7
2895,2020-09-06T00:11:43.259,35.7652,129.2073,13.8,-0.3
2896,2020-09-06T23:21:44.153,35.7588,129.1892,13.7,0.8
2897,2020-09-07T16:43:15.629,35.4097,128.7852,13.8,2.2
2898,2020-09-07T16:45:18.872,35.7497,129.1914,15.5,0.1
2899,2020-09-08T00:54:07.041,35.8149,129.329,14.2,1.1
2900,2020-09-08T17:42:32.141,35.9619,129.5505,34.7,0.5
2901,2020-09-08T18:25:18.901,36.1409,128.8753,15.8,0.3
2902,2020-09-09T06:44:20.033,36.0617,129.2945,16,0.4
2903,2020-09-09T07:00:00.969,35.4701,128.8613,13,0.3
2904,2020-09-09T13:01:00.699,35.6683,129.4735,8.1,0.2
2905,2020-09-09T15:48:00.912,35.9541,128.9601,29.4,0.4
2906,2020-09-09T16:48:12.562,35.7127,129.3456,8.7,0.6
2907,2020-09-09T16:48:37.853,35.7123,129.346,8.1,0.1
2908,2020-09-09T16:57:24.747,35.7122,129.3468,8,-0.1
2909,2020-09-09T17:25:04.081,35.7124,129.3463,8.8,0.2
2910,2020-09-09T19:37:28.910,35.6683,129.538,14.7,-0.1
2911,2020-09-09T22:17:25.718,35.7592,129.1833,13.1,-0.1
2912,2020-09-10T13:49:26.820,35.7123,129.3464,8.8,0.6
2913,2020-09-10T15:05:09.175,35.8606,129.1006,12.1,-0.2
2914,2020-09-10T21:07:00.046,35.775,129.1932,12.5,-0.1
2915,2020-09-11T02:46:38.374,35.7809,129.3869,12.3,0
2916,2020-09-12T00:28:34.699,35.7118,129.3481,9.3,0.9
2917,2020-09-12T00:58:39.179,35.7562,129.1872,13.2,0.7
2918,2020-09-12T17:37:36.899,35.7594,129.1931,13.3,-0.1
2919,2020-09-13T05:22:35.128,35.7791,129.1899,12.6,-0.1
2920,2020-09-13T10:08:35.241,35.783,129.2002,13.2,-0.2
2921,2020-09-13T11:04:53.299,35.7796,129.3755,11.6,-0.1
2922,2020-09-13T14:57:28.462,35.6108,129.8459,21.9,0.6
2923,2020-09-13T15:50:32.281,35.7129,129.3907,5,-0.4
2924,2020-09-14T11:36:08.745,35.7729,129.1992,12.8,0.2
2925,2020-09-15T08:52:51.985,35.7747,129.1871,12.8,-0.1
2926,2020-09-15T12:56:14.630,35.9356,129.5968,13,0.3
2927,2020-09-15T16:50:02.285,35.9385,128.8835,10.9,0.1
2928,2020-09-15T16:51:56.641,35.939,128.8808,10.6,-0.2
2929,2020-09-16T01:53:29.900,35.7752,129.2002,13.5,0.2
2930,2020-09-16T06:12:01.539,35.8342,129.7002,15.1,1.7
2931,2020-09-16T07:46:58.715,35.7672,129.1869,13.3,1.7
2932,2020-09-16T11:15:59.406,35.7829,129.1976,13,0.5
2933,2020-09-16T11:37:49.969,35.7811,129.1988,14.1,-0.1
2934,2020-09-16T14:57:40.912,35.9364,128.7969,14.3,0
2935,2020-09-16T19:59:24.381,35.723,129.4106,12.1,-0.2
2936,2020-09-17T03:53:44.971,35.7651,129.1962,14.2,0.1
2937,2020-09-17T07:11:29.860,35.7157,129.3517,9.6,0.1
2938,2020-09-17T21:33:18.382,35.7914,129.413,13.6,-0.1
2939,2020-09-18T03:51:04.789,35.7636,129.2,14.2,0
2940,2020-09-18T12:47:28.430,35.7672,129.2076,14.4,-0.1
2941,2020-09-18T12:56:11.929,35.7792,129.209,15.7,0.2
2942,2020-09-18T21:55:47.980,35.7405,129.423,13.9,-0.1
2943,2020-09-19T17:36:09.219,35.7631,129.1937,13.2,-0.3
2944,2020-09-20T19:42:53.370,35.7664,129.1743,14.9,-0.1
2945,2020-09-22T02:04:07.126,35.8135,129.0896,21.2,0.3
2946,2020-09-22T11:53:32.434,35.6877,129.1118,16.5,0.7
2947,2020-09-23T01:07:59.090,35.7306,129.5572,18.3,0.6
2948,2020-09-23T05:00:37.763,35.7884,129.2327,14,0.1
2949,2020-09-24T16:19:43.360,35.7617,129.2005,15.6,0
2950,2020-09-24T16:20:22.864,35.7614,129.2069,15.8,-0.2
2951,2020-09-25T23:26:13.097,35.2022,129.0715,20.2,1.3
2952,2020-09-26T07:22:43.991,35.7995,129.4478,9.5,1.1
2953,2020-09-26T11:52:02.786,36.0808,129.3323,7.3,0.8
2954,2020-09-26T19:04:24.260,35.7974,129.4626,9.1,-0.3
2955,2020-09-27T09:02:18.869,35.7988,129.4583,8.3,0.1
2956,2020-09-27T10:09:42.745,35.7983,129.4574,7.7,-0.2
2957,2020-09-27T18:17:19.737,35.7834,129.3994,14,-0.2
2958,2020-09-28T05:58:47.096,35.7638,129.186,12.9,0.2
2959,2020-09-28T16:31:33.345,36.026,128.8686,12.8,0.6
2960,2020-09-29T04:17:34.350,35.5072,128.8993,16.7,0.4
2961,2020-09-29T14:23:37.466,35.7623,129.2052,16.1,-0.2
2962,2020-09-30T09:04:22.283,35.7637,129.1952,13,-0.4
2963,2020-09-30T09:52:06.668,35.356,128.9072,20,0.9
2964,2020-09-30T14:35:49.051,35.6908,129.393,14.1,-0.3
2965,2020-10-01T03:13:24.555,35.7566,129.1923,13.8,-0.5
2966,2020-10-02T03:28:53.603,35.9211,128.6207,12.4,1.1
2967,2020-10-02T09:11:32.408,35.7989,129.4585,7.4,0
2968,2020-10-02T18:46:17.470,35.7556,129.2313,14,-0.4
2969,2020-10-02T22:24:13.766,35.5672,128.9048,24.6,0.1
2970,2020-10-03T04:34:23.190,35.746,129.3802,14.7,-0.1
2971,2020-10-03T05:50:19.418,35.7834,129.367,11.4,-0.1
2972,2020-10-03T19:19:08.285,35.7288,129.371,13.6,-0.2
2973,2020-10-03T19:52:03.491,35.6909,129.328,16.1,0
2974,2020-10-03T22:57:11.101,35.7598,129.1859,12,-0.4
2975,2020-10-04T16:52:25.454,35.6906,129.3245,16,0.3
2976,2020-10-04T20:00:08.732,35.9651,129.2237,7,-0.4
2977,2020-10-05T00:06:26.554,35.7729,129.1786,12.3,0
2978,2020-10-06T03:35:29.740,36.0268,129.2715,6.2,0.8
2979,2020-10-06T07:58:20.251,35.9222,128.6887,16.9,0.4
2980,2020-10-06T08:01:14.132,35.8025,129.3427,14.9,0
2981,2020-10-06T20:19:33.786,35.6824,129.3707,10.6,0.4
2982,2020-10-06T20:21:28.645,35.6862,129.3938,14.2,0.1
2983,2020-10-06T20:27:18.118,35.6834,129.3748,11.1,0.2
2984,2020-10-06T20:33:17.750,35.6827,129.3698,9.8,-0.1
2985,2020-10-06T23:50:56.912,35.6849,129.3887,13.2,0.3
2986,2020-10-06T23:51:05.052,35.683,129.3924,13,0.5
2987,2020-10-07T00:49:38.250,35.6845,129.3696,10.1,0.2
2988,2020-10-07T00:51:40.706,35.6832,129.3694,10.6,0.9
2989,2020-10-07T01:29:00.429,35.6849,129.3734,11,0.5
2990,2020-10-07T02:57:16.298,35.4893,129.1909,3,0.8
2991,2020-10-07T03:00:32.390,35.6862,129.3759,11.3,0.4
2992,2020-10-07T23:47:10.824,35.688,129.3942,14.4,0.4
2993,2020-10-08T02:29:46.092,35.7721,129.1921,14.3,0.1
2994,2020-10-08T05:44:59.722,35.7832,129.3043,9,0.1
2995,2020-10-08T19:38:15.061,35.7475,129.1747,15.2,2.5
2996,2020-10-08T20:58:51.748,35.7678,129.196,13.8,0.2
2997,2020-10-09T02:00:28.808,35.8642,129.7779,15.7,1
2998,2020-10-09T02:56:54.157,35.7661,129.4609,15.2,0.6
2999,2020-10-09T06:14:10.277,35.6836,129.3743,11.1,0.5
3000,2020-10-09T07:54:56.025,35.793,129.2153,13.3,-0.1
3001,2020-10-09T20:51:40.340,35.6845,129.3705,9.8,0.1
3002,2020-10-09T23:22:24.449,35.7616,129.1958,13.2,-0.1
3003,2020-10-09T23:58:50.992,36.0247,129.1012,3.2,0.4
3004,2020-10-10T19:12:39.502,35.785,129.313,8.4,-0.1
3005,2020-10-10T22:23:30.915,35.7859,129.3139,8.8,-0.2
3006,2020-10-11T03:08:54.723,35.6874,129.1485,10.2,0.5
3007,2020-10-11T03:15:06.122,35.6887,129.1476,10.3,0.9
3008,2020-10-11T07:24:43.881,35.7606,129.185,15.8,-0.1
3009,2020-10-11T19:15:34.572,35.7711,129.2124,12.3,-0.6
3010,2020-10-13T23:54:22.461,35.7741,129.2112,15.5,0.3
3011,2020-10-14T06:32:38.607,35.7138,129.3552,10.6,0.7
3012,2020-10-14T16:47:29.427,36.1634,128.9313,17.1,0.1
3013,2020-10-15T00:38:18.760,35.7438,129.4409,14.2,0.4
3014,2020-10-15T18:00:34.306,35.7673,129.1997,15.6,-0.2
3015,2020-10-16T00:37:46.281,35.6852,129.002,16.5,1
3016,2020-10-16T09:39:08.124,35.8061,129.1024,6,-0.5
3017,2020-10-17T03:57:51.533,35.7671,129.2856,8.9,0.1
3018,2020-10-17T09:40:31.128,35.7741,129.2029,14.7,0.1
3019,2020-10-17T13:30:35.145,35.7658,129.4123,24,0.1
3020,2020-10-17T13:32:58.746,35.8022,129.4676,10.5,-0.4
3021,2020-10-17T22:11:36.412,35.8382,129.2766,17.3,0
3022,2020-10-18T03:55:49.801,35.5909,129.6947,19,0.9
3023,2020-10-18T17:43:11.293,35.7694,129.1909,13,0.3
3024,2020-10-18T18:12:43.701,35.7626,129.2041,13.5,-0.5
