Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Magnitude,Depth
2014,3,11,3,35,10,35.7267,129.4701,0.08,9.62
2014,3,11,8,29,10,35.7674,129.3146,0.85,9.34
2014,3,21,12,34,19,35.7667,129.3696,0.03,10.89
2014,3,26,11,28,45,35.7279,129.3624,0.38,19.32
2014,3,27,10,58,9,35.7862,129.3037,1.19,9.27
2014,3,29,22,2,21,35.7135,129.3918,0.52,7.44
2014,4,1,12,28,13,35.8523,129.3583,0.15,4.16
2014,4,1,17,12,36,35.6876,129.3813,0.78,13.17
2014,4,2,11,8,7,35.8345,129.2865,0.52,13.17
2014,4,7,11,33,6,35.7192,129.3988,2.49,13.35
2014,4,7,22,4,1,35.7832,129.3043,0.35,9.19
2014,4,8,2,3,43,35.7248,129.3866,0.88,14.72
2014,4,10,17,25,44,35.6908,129.3817,0.98,13.61
2014,4,12,16,22,21,35.7801,129.3076,0.68,9.68
2014,4,14,6,32,15,35.785,129.3059,0.42,9.31
2014,4,15,12,14,38,35.6786,129.3656,0.98,9.18
2014,4,23,0,56,6,35.7192,129.3479,0.01,8.16
2014,4,25,7,47,37,35.776,129.3626,0.41,15.41
2014,4,25,9,14,11,35.7749,129.3886,0.52,11.6
2014,4,28,7,46,51,35.7794,129.3598,0.58,15.16
2014,4,28,9,57,0,35.7002,129.3659,0.61,9.17
2014,4,28,19,58,14,35.7824,129.3699,0.45,15.03
2014,4,29,9,37,11,35.6441,129.5492,0.75,17.47
2014,5,1,5,33,34,35.7895,129.4471,0.5,9.49
2014,5,5,8,0,57,35.7849,129.3043,0.89,9.26
2014,5,9,13,16,40,35.787,129.3792,0.76,12.79
2014,5,23,12,23,58,35.7968,129.3877,1.0,13.85
2014,5,25,12,14,9,35.7061,129.2796,-0.1,6.22
2014,5,26,8,20,10,35.744,129.3799,0.63,12.44
2014,6,1,12,8,34,35.7353,129.2795,0.01,6.9
2014,6,5,22,17,19,35.6446,129.3746,0.22,8.45
2014,6,6,4,48,18,35.7401,129.4165,0.48,13.2
2014,6,8,3,37,26,35.7393,129.4241,-0.27,6.25
2014,6,8,3,54,58,35.7854,129.3808,0.2,12.85
2014,6,8,5,52,11,35.787,129.3791,1.85,12.93
2014,6,8,12,17,19,35.7305,129.4097,-0.1,7.4
2014,6,18,18,52,45,35.685,129.3717,0.09,10.86
2014,6,20,15,38,17,35.7092,129.3768,0.59,10.24
2014,6,22,11,16,8,35.7128,129.3553,0.7,9.81
2014,6,25,5,18,48,35.7853,129.3656,0.64,14.75
2014,6,30,2,18,37,35.7431,129.4168,0.33,12.55
2014,7,6,20,2,32,35.7963,129.3793,0.41,10.82
2014,7,13,7,48,1,35.7592,129.3849,0.46,14.16
2014,7,16,18,18,13,35.7843,129.3736,1.17,6.32
2014,7,16,18,57,50,35.7575,129.3955,0.19,9.53
2014,7,20,3,52,47,35.7183,129.3924,0.25,5.5
2014,7,27,5,35,13,35.7842,129.3691,-0.13,14.8
2014,7,28,21,29,8,35.8275,129.4091,0.73,12.65
2014,7,31,5,57,15,35.7249,129.4026,0.54,12.22
2014,7,31,6,54,16,35.7243,129.4008,0.7,12.07
2014,7,31,9,9,27,35.7232,129.4006,0.75,12.03
2014,7,31,12,13,5,35.7238,129.4007,0.8,11.72
2014,8,13,3,31,10,35.8162,129.4091,0.24,13.51
2014,8,13,11,24,15,35.8181,129.4035,0.62,13.4
2014,8,15,18,28,46,35.784,129.3646,0.39,14.57
2014,8,26,0,19,34,35.785,129.3806,0.37,12.99
2014,8,30,12,1,12,35.7223,129.342,0.29,6.63
2014,9,3,15,12,10,35.6576,129.3707,1.0,8.99
2014,9,9,0,24,0,35.6825,129.3556,2.64,12.75
2014,9,12,4,3,28,35.6846,129.3756,-0.21,11.36
