id,event_idx
201699,11180
201700,11184
201701,11189
201702,11193
201703,11194
201704,11195
201705,11196
201706,11197
201707,11198
201708,11199
201709,11200
201710,11203
201711,11215
201713,11219
201714,11232
201715,11243
201716,11250
201717,11253
201718,11255
201719,11269
201720,11271
201721,11284
201722,11286
201723,11290
201724,11292
201725,11296
201726,11297
201727,11298
201728,11299
201729,11300
201730,11302
201731,11304
201732,11318
201733,11324
201734,11325
201736,11343
201737,11347
201738,11355
201739,11358
201740,11359
201741,11360
201742,11361
201743,11366
201744,11371
201745,11372
201746,11373
201747,11379
201748,11382
201749,11385
201750,11388
201751,11390
201752,11394
201753,11395
201754,11396
201755,11400
201756,11401
201757,11403
201758,11412
201760,11415
201761,11416
201762,11425
201763,11430
201764,11432
201765,11442
201766,11443
201767,11450
201768,11453
201769,11454
201770,11458
201771,11467
201772,11477
201773,11479
201774,11481
201775,11482
201776,11491
201777,11493
201778,11497
201779,11519
201780,11529
201781,11530
201782,11531
201783,11534
201785,11539
201786,11540
201787,11543
201788,11548
201789,11553
201790,11586
201791,11603
201792,11604
201793,11608
201794,11609
201795,11611
201796,11627
201797,11630
201798,11640
201799,11648
201800,11649
201802,11654
201803,11656
201804,11664
201805,11666
201806,11668
201807,11669
201808,11671
201809,11673
201810,11675
201811,11676
201812,11682
201813,11683
201814,11693
201815,11694
201816,11706
201817,11707
201818,11708
201819,11709
201820,11712
201821,11713
201822,11715
201823,11716
201824,11719
201827,11738
201828,11741
201829,11744
201830,11745
201831,11750
201832,11754
201833,11759
201834,11760
201835,11761
201836,11766
201837,11767
201838,11768
201839,11769
201840,11771
201841,11772
201842,11776
201843,11786
201844,11788
201845,11789
201846,11793
201847,11796
201848,11801
201849,11802
201850,11803
201851,11809
201852,11820
201853,11824
201854,11826
201855,11828
201856,11829
201858,11837
201859,11843
201860,11852
201861,11853
201862,11855
201863,11867
201864,11869
201865,11870
201866,11875
201867,11883
201868,11887
201869,11888
201870,11889
201872,11893
201873,11897
201874,11899
201875,11902
201876,11907
201877,11908
201878,11911
201879,11912
201880,11916
201881,11917
201882,11920
201883,11921
201885,11925
201886,11931
201887,11932
201888,11933
201889,11935
201890,11942
201891,11943
201892,11944
201893,11946
201894,11947
201895,11948
201896,11949
201897,11953
201898,11954
201899,11955
201900,11957
201901,11958
201902,11959
201903,11960
201904,11961
201905,11963
201906,11965
201907,11966
201908,11968
201909,11969
201910,11970
201911,11971
201912,11978
201913,11983
201914,11984
201916,11994
201917,11995
201918,11996
201919,11998
201920,12002
201921,12004
201922,12005
201923,12006
201924,12007
201925,12008
201926,12009
201927,12010
201928,12011
201929,12014
201930,12015
201931,12016
201932,12017
201933,12018
201934,12019
201935,12020
201936,12024
201937,12026
201938,12028
201939,12031
201940,12032
201941,12035
201942,12048
201943,12052
201944,12054
201945,12060
201946,12066
201947,12067
201948,12078
201949,12089
201950,12093
201951,12100
201952,12103
201953,12113
201954,12138
201955,12139
201956,12145
201957,12175
201958,12183
201959,12187
201960,12188
201961,12189
201962,12191
201963,12205
201965,12213
201966,12216
201967,12220
201968,12221
201969,12231
201970,12236
201971,12243
201972,12251
201973,12259
201974,12260
201975,12262
201976,12277
201977,12279
201978,12280
201979,12282
201980,12286
201981,12289
201982,12293
201983,12296
201984,12301
201985,12310
201986,12314
201987,12319
201989,12325
201990,12331
201991,12336
201992,12353
201993,12356
201994,12361
201995,12364
201996,12365
201997,12366
201998,12367
201999,12368
202000,12376
202001,12377
202002,12378
202003,12381
202004,12382
202005,12383
202006,12392
202007,12393
202008,12395
202009,12396
202010,12400
202011,12411
202012,12420
202013,12422
202014,12423
202015,12424
202016,12427
202018,12436
202019,12446
202020,12451
202021,12461
202022,12462
202023,12463
202024,12469
202025,12471
202027,12483
202028,12484
202029,12488
202030,12499
202031,12505
202032,12510
202033,12514
202034,12515
202035,12516
202036,12530
202037,12532
202039,12543
202040,12553
202042,12560
202043,12563
202044,12567
202045,12568
202046,12569
202047,12571
202048,12572
202049,12574
202050,12578
202051,12579
202052,12582
202053,12583
202054,12584
202055,12589
202056,12590
202057,12591
202058,12593
202059,12594
202060,12595
202061,12596
202062,12598
202063,12599
202064,12600
202065,12608
202067,12610
202068,12613
202069,12615
202070,12619
202071,12620
202074,12637
202075,12639
202076,12640
202077,12645
202078,12653
202079,12655
202080,12656
202081,12657
202082,12661
202083,12665
202084,12666
202085,12667
202086,12671
202087,12697
202088,12706
202089,12707
202090,12710
202091,12713
202092,12714
202093,12717
202094,12735
202095,12741
202096,12749
202097,12750
202098,12751
202099,12752
202100,12760
202101,12768
202102,12769
202103,12770
202104,12772
202105,12773
202106,12775
202107,12781
202108,12802
202109,12806
202110,12813
202112,12815
202113,12824
202114,12826
202115,12830
202116,12833
