event_idx,time,lat,lon,depth,magnitude
352,2012-10-14 03:29:57.980000+00:00,35.7352,129.3898,11.14,0.5207773060159262
355,2012-10-19 19:59:16.780000+00:00,35.8091,129.4354,15.49,1.060372612271464
356,2012-10-20 06:11:48.130000+00:00,35.7154,129.4096,12.88,0.9318820470118488
361,2012-10-26 20:11:23.180000+00:00,35.7692,129.387,12.09,0.5388541259092652
366,2012-11-26 04:20:47.340000+00:00,35.7023,129.3693,9.24,0.4793404219159024
368,2012-11-30 03:18:05.600000+00:00,35.6837,129.539,14.73,1.14630249315015
371,2012-12-06 05:37:16.290000+00:00,35.7132,129.3694,9.94,1.1111805306293503
377,2013-01-01 20:20:59.700000+00:00,35.7235,129.371,10.28,0.5348293349328741
380,2013-01-15 21:29:16.650000+00:00,35.726,129.3585,10.05,0.6408117602108929
381,2013-01-17 06:10:26.180000+00:00,35.6916,129.3597,8.92,0.6634251214589499
383,2013-01-19 21:43:46.210000+00:00,35.734,129.4212,13.33,0.5408924365834982
384,2013-02-01 00:18:42.730000+00:00,35.7778,129.3295,11.31,0.4185406990127607
386,2013-02-15 14:49:59.170000+00:00,35.8507,129.2746,8.79,2.426346974135373
389,2013-02-16 22:14:08.320000+00:00,35.8502,129.2744,8.51,2.027770924459822
393,2013-03-04 12:31:30.210000+00:00,35.847,129.2754,10.0,0.3362938799602975
394,2013-03-06 22:23:26.190000+00:00,35.6933,129.3685,8.42,0.1147530530068736
395,2013-03-09 02:12:13.560000+00:00,35.8498,129.2775,8.88,1.1083962060028858
398,2013-03-16 13:15:02.670000+00:00,35.8244,129.3268,14.14,0.4075072132780786
399,2013-03-16 19:39:28.730000+00:00,35.7225,129.3685,10.07,0.7691094380363432
403,2013-03-22 06:10:47.860000+00:00,35.7425,129.4203,13.02,0.8101689427038725
404,2013-03-22 11:58:50.970000+00:00,35.7405,129.4189,13.12,0.9168639048007158
405,2013-03-22 13:40:04.330000+00:00,35.7416,129.4198,13.19,0.9185224551639796
406,2013-03-23 01:53:21.060000+00:00,35.7204,129.3919,10.44,0.0834128301394201
410,2013-03-24 17:02:10.460000+00:00,35.6875,129.4121,7.94,-0.0375552072622582
412,2013-03-27 11:50:22.200000+00:00,35.7237,129.4174,7.11,0.7224895261956821
413,2013-03-27 16:20:30.970000+00:00,35.7201,129.4193,6.9,-0.2107924122794147
414,2013-03-28 01:52:09.870000+00:00,35.6874,129.358,8.3,0.1003263985083341
415,2013-03-31 11:14:24.300000+00:00,35.8102,129.3428,15.21,0.4396045684147348
416,2013-03-31 13:25:07.740000+00:00,35.7863,129.3881,13.06,0.020683812836487
417,2013-03-31 19:32:18.690000+00:00,35.7283,129.3692,10.29,0.2366819295501823
418,2013-03-31 21:44:23.970000+00:00,35.794,129.3882,12.71,0.5350941034525806
419,2013-04-01 19:43:55.180000+00:00,35.7832,129.389,13.21,0.401788692047835
422,2013-04-24 04:06:13.360000+00:00,35.7004,129.3687,9.17,0.378155346803474
423,2013-04-24 13:20:27.360000+00:00,35.7859,129.3724,14.97,0.5802136419391051
426,2013-05-08 03:33:04.250000+00:00,35.8849,129.4385,11.39,0.5934837353638455
430,2013-06-02 19:06:06.210000+00:00,35.7182,129.4045,8.33,0.8482555509984137
431,2013-06-07 02:40:22.460000+00:00,35.7076,129.3593,9.87,0.692024783631285
433,2013-06-13 20:24:17.750000+00:00,35.7112,129.3717,10.0,0.2322707577314324
438,2013-06-23 19:02:18.600000+00:00,35.7129,129.3583,9.91,0.669015214198752
440,2013-06-29 15:54:11.130000+00:00,35.6929,129.3599,8.83,0.0166668801538206
441,2013-06-29 21:08:52.710000+00:00,35.8297,129.446,15.81,0.3010881191137349
442,2013-06-30 03:58:41.590000+00:00,35.8301,129.4458,15.75,0.8913228066296939
443,2013-06-30 04:06:36.150000+00:00,35.8287,129.4456,16.01,1.0561626377641238
447,2013-07-10 11:00:47.830000+00:00,35.6462,129.4673,19.63,0.7553587400537953
451,2013-07-13 17:38:33.600000+00:00,35.7148,129.3696,10.09,0.4855200532730683
453,2013-07-21 23:46:30.400000+00:00,35.7747,129.3887,11.33,0.2657106436054397
454,2013-07-23 16:59:56.330000+00:00,35.7205,129.4119,13.15,0.323495544644713
456,2013-07-26 14:28:56.890000+00:00,35.8353,129.4117,10.73,0.4723625646224546
457,2013-07-26 21:56:48.090000+00:00,35.8481,129.3074,14.35,0.333948436605274
458,2013-08-17 03:20:24.260000+00:00,35.7709,129.3717,14.36,0.4129304539339586
459,2013-08-17 03:26:46.970000+00:00,35.7375,129.3694,14.34,0.5895927393914369
460,2013-08-17 03:28:33.810000+00:00,35.7567,129.3603,13.92,0.3013920015487414
463,2013-08-26 17:38:06.670000+00:00,35.8146,129.4171,15.01,0.8449701371830602
465,2013-09-06 09:14:32.600000+00:00,35.7057,129.3842,14.26,1.1358788861996136
466,2013-09-07 03:22:26.350000+00:00,35.7927,129.3919,14.04,0.2636041539414488
469,2013-09-14 15:06:27.250000+00:00,35.7223,129.3687,10.11,1.505615018038665
471,2013-09-19 23:40:23.290000+00:00,35.7129,129.3707,10.12,0.4591035416124831
473,2013-09-23 18:24:37.600000+00:00,35.7123,129.4063,10.56,0.5430639402446188
474,2013-09-24 02:57:37.490000+00:00,35.6979,129.3692,8.98,0.4894191507942442
475,2013-09-26 13:56:38.200000+00:00,35.8078,129.438,15.11,0.5344318038096187
476,2013-09-27 02:39:53.890000+00:00,35.8159,129.4659,8.4,0.848385174195907
477,2013-09-29 04:22:47.940000+00:00,35.7036,129.3686,9.42,0.5579044897410742
480,2013-10-05 22:31:11.170000+00:00,35.6835,129.4068,9.03,0.2362062167853103
481,2013-10-11 03:45:58.450000+00:00,35.6846,129.4077,9.14,0.3582589281414896
482,2013-10-11 09:52:26.560000+00:00,35.6602,129.3852,10.09,0.1845037313067744
483,2013-10-18 20:54:30.660000+00:00,35.6848,129.3846,12.19,0.0888071345173852
484,2013-10-18 21:02:58.820000+00:00,35.8351,129.2835,12.08,0.5145737269016262
485,2013-10-19 23:27:13.220000+00:00,35.7399,129.3929,9.36,0.0317323489308294
487,2013-11-06 06:48:26.610000+00:00,35.6699,129.364,11.15,0.8635457804738021
488,2013-11-09 23:26:47.730000+00:00,35.6511,129.4876,17.6,1.2651785013445287
489,2013-11-13 19:24:34.450000+00:00,35.7381,129.4154,12.11,0.5048457974757501
490,2013-11-14 01:28:56.850000+00:00,35.6736,129.3717,9.91,0.5688372525800776
491,2013-11-18 18:25:23.520000+00:00,35.7081,129.3951,9.83,0.3999499271552441
493,2013-11-20 18:37:55.800000+00:00,35.6784,129.5331,14.57,
495,2013-11-22 14:41:37.260000+00:00,35.7105,129.3531,9.29,0.3258439631161278
501,2013-12-05 05:02:36.410000+00:00,35.7146,129.3688,9.7,
503,2013-12-07 19:26:53.280000+00:00,35.7042,129.371,9.41,-0.1488331163913017
508,2013-12-16 19:18:51.960000+00:00,35.7214,129.3666,9.99,0.2834358486735157
509,2013-12-23 03:18:52.320000+00:00,35.6173,129.353,8.65,0.276722801570569
512,2013-12-26 17:55:06.400000+00:00,35.7065,129.3688,9.48,0.0500194740002623
513,2013-12-28 12:34:53.720000+00:00,35.7741,129.3942,11.86,0.4675088922951862
516,2014-01-02 21:19:22.480000+00:00,35.7168,129.3423,10.0,0.8020550365008132
518,2014-01-03 06:06:17.720000+00:00,35.705,129.3711,9.44,0.0911217068311975
519,2014-01-04 22:23:32.710000+00:00,35.7186,129.397,11.96,-0.0211421255791588
520,2014-01-05 00:28:13.750000+00:00,35.7076,129.3694,9.59,0.3481267498244949
521,2014-01-05 01:23:19.190000+00:00,35.7229,129.4032,9.3,0.6659902795067718
523,2014-01-07 03:08:05.560000+00:00,35.6805,129.402,16.46,0.811426713527851
524,2014-01-07 05:43:58.340000+00:00,35.7268,129.366,10.21,0.1330202846849052
525,2014-01-08 03:24:01.500000+00:00,35.7419,129.4475,2.95,0.5622421497078984
528,2014-01-08 23:20:49.710000+00:00,35.6949,129.5398,16.16,
529,2014-01-09 22:58:34.270000+00:00,35.7398,129.3036,8.15,0.4389652706116609
534,2014-01-16 05:20:33.520000+00:00,35.7626,129.3682,13.59,0.0994371400272424
541,2014-01-29 03:27:28.470000+00:00,35.7287,129.4461,20.09,0.6689023433387509
542,2014-01-29 06:56:27.630000+00:00,35.7189,129.3903,11.08,0.4666818274335675
543,2014-01-29 16:28:21.190000+00:00,35.7066,129.4049,6.17,-0.0423585881996277
544,2014-02-06 08:27:43.740000+00:00,35.6934,129.3977,14.78,0.744547442053344
547,2014-02-18 02:09:45+00:00,35.7133,129.3489,9.34,0.7351680909898992
549,2014-02-22 11:49:10.720000+00:00,35.7067,129.4031,14.25,
552,2014-02-28 19:59:25.930000+00:00,35.7301,129.4483,13.93,1.0987844748480189
554,2014-03-08 08:33:28.860000+00:00,35.7818,129.3105,9.24,0.6442608980034941
556,2014-03-10 18:35:10.610000+00:00,35.7267,129.4701,9.62,0.0776807988135101
557,2014-03-10 23:29:10.570000+00:00,35.7674,129.3146,9.34,0.8547590436186723
561,2014-03-21 03:34:19.020000+00:00,35.7667,129.3696,10.89,0.0309904330887129
564,2014-03-26 02:28:45.330000+00:00,35.7279,129.3624,19.32,0.3843448069936257
565,2014-03-27 01:58:09.050000+00:00,35.7862,129.3037,9.27,1.1862089866062313
568,2014-03-29 13:02:21.960000+00:00,35.7135,129.3918,7.44,0.5177665121606688
