family_id,n,slug,status,n_relocated,t_seconds,stage_failed,error_msg,timestamp
936,8,f936_reuse,done_cached,8,0.0,,,2026-06-11 21:39:32
939,10,f939_reuse,done_cached,10,0.0,,,2026-06-11 21:39:31
953,7,f953_reuse,done_cached,6,0.0,,,2026-06-11 21:39:32
969,19,f969_reuse,done_cached,19,0.0,,,2026-06-11 21:39:31
1020,3,f1020_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
1022,10,f1022_reuse,done_cached,8,0.0,,,2026-06-11 21:39:31
1024,9,f1024_reuse,done_cached,8,0.0,,,2026-06-11 21:39:31
1038,7,f1038_reuse,done_cached,7,0.0,,,2026-06-11 21:39:32
1040,6,f1040_reuse,done_cached,6,0.0,,,2026-06-11 21:39:32
1045,3,f1045_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
1052,3,f1052_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
1057,13,f1057_reuse,done_cached,13,0.0,,,2026-06-11 21:39:31
1058,20,f1058_reuse,done_cached,20,0.0,,,2026-06-11 21:39:31
1079,5,f1079_reuse,done_cached,5,0.0,,,2026-06-11 21:39:32
1085,3,f1085_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
1086,15,f1086_reuse,done_cached,14,0.0,,,2026-06-11 21:39:31
1098,5,f1098_reuse,done_cached,5,0.0,,,2026-06-11 21:39:32
1105,3,f1105_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
1107,4,f1107_reuse,done_cached,4,0.0,,,2026-06-11 21:39:32
1112,5,f1112_reuse,done_cached,5,0.0,,,2026-06-11 21:39:32
1113,3,f1113_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
1115,21,f1115_reuse,done_cached,20,0.0,,,2026-06-11 21:39:31
1121,4,f1121_reuse,done_cached,4,0.0,,,2026-06-11 21:39:32
1128,3,f1128_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
1132,4,f1132_reuse,done_cached,4,0.0,,,2026-06-11 21:39:32
1140,3,f1140_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
1142,4,f1142_reuse,done_cached,4,0.0,,,2026-06-11 21:39:32
1145,6,f1145_reuse,done_cached,6,0.0,,,2026-06-11 21:39:32
1148,3,f1148_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
1152,3,f1152_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
1171,7,f1171_reuse,done_cached,6,0.0,,,2026-06-11 21:39:32
1174,4,f1174_reuse,done_cached,4,0.0,,,2026-06-11 21:39:32
1178,4,f1178_reuse,done_cached,4,0.0,,,2026-06-11 21:39:32
1180,9,f1180_reuse,done_cached,8,0.0,,,2026-06-11 21:39:31
1185,9,f1185_reuse,done_cached,8,0.0,,,2026-06-11 21:39:31
1186,3,f1186_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
1194,13,f1194_reuse,done_cached,13,0.0,,,2026-06-11 21:39:31
1201,4,f1201_reuse,done_cached,4,0.0,,,2026-06-11 21:39:32
1203,8,f1203_reuse,done_cached,8,0.0,,,2026-06-11 21:39:31
1208,5,f1208_reuse,done_cached,5,0.0,,,2026-06-11 21:39:32
1210,3,f1210_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
1215,21,f1215_reuse,done_cached,17,0.0,,,2026-06-11 21:39:31
1217,4,f1217_reuse,done_cached,4,0.0,,,2026-06-11 21:39:32
1218,30,f1218_reuse,done_cached,26,0.0,,,2026-06-11 21:39:31
1220,3,f1220_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
1221,3,f1221_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
1230,3,f1230_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
1232,3,f1232_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
1255,7,f1255_reuse,done_cached,6,0.0,,,2026-06-11 21:39:32
1324,15,f1324_reuse,done_cached,15,0.0,,,2026-06-11 21:39:31
1327,5,f1327_reuse,done_cached,4,0.0,,,2026-06-11 21:39:32
1334,4,f1334_reuse,done_cached,4,0.0,,,2026-06-11 21:39:32
1335,3,f1335_reuse,absolute_only,0,603.7,dtcc,TIMEOUT after 600s,2026-06-11 21:49:36
1376,5,f1376_reuse,done_cached,5,0.0,,,2026-06-11 21:39:32
1377,3,f1377_reuse,done,2,10.4,,,2026-06-11 21:49:46
1397,3,f1397_reuse,done,3,9.7,,,2026-06-11 21:49:56
1423,3,f1423_reuse,done,2,128.0,,,2026-06-11 21:52:04
1424,3,f1424_reuse,absolute_only,0,6.3,dtcc,"100 68 14 -22.0 24 1 2 1 0 0 0 14 14 100 68 14 -0.9 25 3 11 5 0 0 0 15 15 100 68 14 -0.5 26 2 11 5 0 0 0 16 16 100 68 14 -0.1 27 2 9 6 0 0 0 Cluster has less than 2 events. (Common causes: bad dt input, all events dropped by clustering, or the binary's MAXDATA0 limit if MAXDATA0 appears above.)",2026-06-11 21:52:10
1437,7,f1437_reuse,done_cached,6,0.0,,,2026-06-11 21:39:32
