event_idx,event_time,year,n_const,ml_const_inv,ml_const
3119,2016-09-14 13:45:05.910000+00:00,2016,1,-0.5160028379329404,-0.48291696759389274
3120,2016-09-14 13:47:26.660000+00:00,2016,5,0.47196032742808836,0.3767183771957304
3121,2016-09-14 13:49:10.070000+00:00,2016,1,-0.35919079160299794,-0.32610492126395024
3122,2016-09-14 13:54:09.780000+00:00,2016,5,1.5323718935232302,1.5305588932726155
3123,2016-09-14 14:01:42.380000+00:00,2016,3,0.15040534814702552,0.0301942728380383
3124,2016-09-14 14:02:59.950000+00:00,2016,5,1.1347621883524417,1.1025662008783024
3125,2016-09-14 14:04:16.120000+00:00,2016,2,-0.1905811540052966,-0.16803512027074732
3126,2016-09-14 14:13:58.110000+00:00,2016,4,0.1972895130507923,0.15372691056582252
3127,2016-09-14 14:15:55.160000+00:00,2016,4,0.251294954009821,0.19028291623002008
3128,2016-09-14 14:21:39.090000+00:00,2016,2,0.024461354319668893,0.03755567301732379
3129,2016-09-14 14:24:01.160000+00:00,2016,1,-0.67591374474379,-0.6428278744047423
3130,2016-09-14 14:34:04.540000+00:00,2016,1,-0.5400967303249329,-0.5070108599858852
3131,2016-09-14 14:39:45.480000+00:00,2016,1,-0.8551908646488082,-0.8221049943097606
3133,2016-09-14 14:45:13.860000+00:00,2016,1,-0.6894041275942591,-0.6563182572552114
3134,2016-09-14 14:53:19.980000+00:00,2016,1,-1.0910262145915814,-1.0579403442525337
3135,2016-09-14 14:56:59.310000+00:00,2016,1,-0.9285414099561786,-0.895455539617131
3136,2016-09-14 15:04:04.130000+00:00,2016,4,0.35740711320594065,0.29639507542613974
3137,2016-09-14 15:04:25.150000+00:00,2016,5,0.9765133871292684,0.9747003868786538
3138,2016-09-14 15:18:48.730000+00:00,2016,2,-0.21779762538921432,-0.20470330669155948
3139,2016-09-14 15:21:08.220000+00:00,2016,1,-0.32208061733739224,-0.28899474699834454
3141,2016-09-14 15:27:45.210000+00:00,2016,5,0.6863218867826775,0.6794246538389396
3142,2016-09-14 15:33:08.380000+00:00,2016,3,0.009672839626912871,0.021679036756963706
3143,2016-09-14 15:41:56.250000+00:00,2016,5,0.7778159573153882,0.7383096568727593
3145,2016-09-14 15:54:18.310000+00:00,2016,5,0.9676805957786327,0.8474695204696455
3146,2016-09-14 15:59:46.260000+00:00,2016,3,0.018333341590380872,0.030339538720431707
3147,2016-09-14 15:59:58.420000+00:00,2016,5,0.5385227197654465,0.5505289168954973
3149,2016-09-14 16:03:35.440000+00:00,2016,1,-0.6053190316588257,-0.5722331613197781
3150,2016-09-14 16:05:40.370000+00:00,2016,4,0.33046002791277973,0.26690587378641717
3151,2016-09-14 16:08:12.960000+00:00,2016,5,0.6130054935420157,0.4927944182330285
3152,2016-09-14 16:14:29.710000+00:00,2016,1,-0.6442756546846307,-0.611189784345583
3153,2016-09-14 16:14:46.160000+00:00,2016,1,-0.48364200116449907,-0.4505561308254514
3154,2016-09-14 16:18:38.910000+00:00,2016,2,-0.21338949888612427,-0.20029518018846937
3155,2016-09-14 16:18:57.270000+00:00,2016,4,0.2696523847686486,0.20609823064228602
3157,2016-09-14 16:22:47.690000+00:00,2016,1,-0.899855943100701,-0.8667700727616534
3158,2016-09-14 16:28:14.900000+00:00,2016,4,1.148031563167592,1.1436764465704155
