event_idx,event_time,year,n_used,ml_ufraw,ml_ufcorr
87,2010-11-01 17:53:30.440000+00:00,2010,3,0.4569503577400173,0.6563663232881127
92,2010-11-18 05:33:54.590000+00:00,2010,4,0.9390810726545,0.9774670443222804
93,2010-11-18 10:05:43.540000+00:00,2010,5,1.1193603760092588,1.1540615852081244
94,2010-11-21 23:08:56.760000+00:00,2010,1,0.4622478923840802,0.1760942794956014
98,2010-12-05 19:48:18.350000+00:00,2010,4,0.6542995652781443,0.6926855369459246
99,2010-12-05 19:52:48.770000+00:00,2010,2,0.4228011238483991,0.2970749220035925
100,2010-12-10 19:26:01.460000+00:00,2010,5,0.6380078690391249,0.6727090782379905
101,2010-12-13 14:09:37.350000+00:00,2010,5,0.7720337352758864,0.806734944474752
102,2010-12-13 15:21:42.490000+00:00,2010,4,0.5006509150013936,0.5390368866691739
103,2010-12-13 15:26:31.720000+00:00,2010,6,1.0507600922770937,1.0928308264137887
110,2010-12-21 21:28:55.570000+00:00,2010,1,0.7593707685931084,0.4732171557046296
111,2010-12-22 11:50:48.660000+00:00,2010,1,0.6690330660290265,0.38287945314054767
113,2011-01-06 16:31:38.920000+00:00,2011,4,0.4118578549024312,0.4502438265702115
114,2011-01-06 16:51:18.370000+00:00,2011,3,0.3430594965873861,0.3851302307240811
116,2011-01-13 02:59:41.640000+00:00,2011,2,0.5345242210488769,0.4124827816729849
118,2011-01-19 18:32:32.650000+00:00,2011,5,0.6441163852329947,0.6794756293621382
121,2011-02-02 22:20:06.790000+00:00,2011,4,0.18265634440029593,0.3073792741963712
122,2011-02-06 09:48:19.040000+00:00,2011,2,0.29191935961570836,0.16987792023981646
124,2011-02-22 18:00:38.460000+00:00,2011,5,0.5547905239215636,0.5968612580582586
126,2011-02-23 07:52:43.930000+00:00,2011,4,1.3628510518853827,1.401237023553163
132,2011-03-03 05:43:10.630000+00:00,2011,6,1.8377547988551743,1.8798255329918696
133,2011-03-05 03:55:19.280000+00:00,2011,2,0.36438023093727034,0.2423387915613784
141,2011-03-14 19:11:00.610000+00:00,2011,2,0.313123619270426,0.19108217989453408
142,2011-03-22 08:06:07.530000+00:00,2011,2,0.925917648967785,0.8038762095918931
148,2011-04-12 21:44:06.310000+00:00,2011,3,0.5258397840219646,0.5679105181586597
150,2011-04-16 12:42:48.300000+00:00,2011,2,0.5258811346362,0.4038396952603081
151,2011-04-29 08:30:09.140000+00:00,2011,1,0.3760374908527972,0.0898838779643184
154,2011-05-04 12:38:33.990000+00:00,2011,4,0.47757404727061326,0.5198600214871671
155,2011-05-04 16:12:09.680000+00:00,2011,6,0.8391423086081738,0.9638652384042491
156,2011-05-04 18:08:19.270000+00:00,2011,3,0.5087290711590107,0.5507998052957057
158,2011-05-14 19:16:28.280000+00:00,2011,2,0.6608303574522433,0.5387889180763514
160,2011-05-20 03:16:05.710000+00:00,2011,3,0.3342079490134442,0.3738470687227659
161,2011-05-21 03:20:33.880000+00:00,2011,3,0.2829304340623852,0.2699125138237268
164,2011-05-28 04:40:41.240000+00:00,2011,3,0.9782107839979846,1.0202815181346796
165,2011-05-29 06:03:05.730000+00:00,2011,6,1.0764257676024118,1.0418193869525965
168,2011-06-02 15:46:00.090000+00:00,2011,4,0.593069058295085,0.6314550299628654
170,2011-06-04 03:12:21+00:00,2011,3,0.4360466202286797,0.46938781959388914
171,2011-06-06 21:53:52.170000+00:00,2011,1,0.6965924471502005,0.7386631812868956
172,2011-06-07 03:00:57.260000+00:00,2011,4,0.9034757337594668,0.9036524651162627
174,2011-06-11 15:05:28.360000+00:00,2011,5,0.5666141316431859,0.42610511415213015
177,2011-06-22 03:11:21.780000+00:00,2011,2,0.5545486230021661,0.43250718362627427
187,2011-08-02 13:23:43.510000+00:00,2011,2,-0.028051756471511403,-0.15009319584740327
188,2011-08-04 00:56:46.510000+00:00,2011,1,0.5923669797565505,0.3062133668680717
190,2011-08-22 15:24:56.040000+00:00,2011,1,0.0825014994347965,-0.20365211345368228
191,2011-08-23 11:59:06.840000+00:00,2011,5,0.6023955639938137,0.7622721545165143
193,2011-08-25 05:17:10.380000+00:00,2011,2,0.8451911943720568,0.723149754996165
196,2011-09-06 09:53:39.450000+00:00,2011,5,0.951473922115345,0.9809322634070237
200,2011-09-11 17:57:56.070000+00:00,2011,3,0.2898644301102553,0.3319351642469503
201,2011-09-13 12:10:41.170000+00:00,2011,4,0.23577214024912335,0.24273529006920838
209,2011-10-29 05:25:17.660000+00:00,2011,5,2.1690218531973424,2.203723062396208
210,2011-10-30 08:45:31.780000+00:00,2011,2,0.37727379754266055,0.25523235816676865
211,2011-11-02 10:00:04+00:00,2011,3,0.2104354910550374,0.2525062251917324
212,2011-11-07 18:56:14.980000+00:00,2011,4,0.7422892605388146,0.7459696386245873
214,2011-11-13 06:32:13.470000+00:00,2011,4,0.6240945928892355,0.6391129341836107
215,2011-11-19 16:44:12.620000+00:00,2011,3,0.7077906658777331,0.7498614000144281
220,2011-12-01 15:59:50.860000+00:00,2011,3,0.4372558405860884,0.4793265747227834
223,2011-12-07 17:58:05.810000+00:00,2011,4,0.5963594284348185,0.576931617585669
224,2011-12-19 10:33:15.300000+00:00,2011,4,0.6214492030616061,0.7131569119289903
225,2011-12-20 10:23:54.630000+00:00,2011,2,0.5321685845558168,0.410127145179925
227,2011-12-21 12:34:19.320000+00:00,2011,3,0.9761694390183856,1.0182401731550805
230,2011-12-27 06:54:14.520000+00:00,2011,4,1.9573271047636975,2.008500156510962
232,2011-12-30 13:34:56.270000+00:00,2011,3,0.4850158535100228,0.5270865876467178
236,2012-01-14 09:35:07.140000+00:00,2012,2,0.387210841743407,0.2651694023675151
240,2012-01-26 08:31:14.140000+00:00,2012,4,0.7662244121075318,0.8046103837753121
241,2012-02-06 17:36:51.210000+00:00,2012,2,0.7272645492628828,0.6052231098869909
243,2012-02-10 08:40:44.390000+00:00,2012,2,0.6238433809334384,0.5018019415575465
244,2012-02-18 06:29:01.870000+00:00,2012,4,0.7853287103333528,0.888943637231864
247,2012-02-23 22:36:12.110000+00:00,2012,4,0.8984894997626051,0.9836015167460256
248,2012-03-11 03:29:53.680000+00:00,2012,3,0.5710804340905584,0.6131511682272535
249,2012-03-12 01:14:57.790000+00:00,2012,5,0.9290880170696424,0.8165843730256781
250,2012-03-12 17:30:02.490000+00:00,2012,6,1.8074993662827548,1.8261497668147784
251,2012-03-15 16:48:45.500000+00:00,2012,3,0.5733890235439958,0.6154597576806908
252,2012-03-18 19:34:08.030000+00:00,2012,2,0.06965020486016055,-0.05239123451573134
254,2012-03-21 11:41:57.940000+00:00,2012,3,0.8589301905769442,0.5727765776884655
256,2012-03-24 11:06:54.540000+00:00,2012,3,0.5132654120415789,0.4822447678998249
258,2012-03-28 11:32:30.610000+00:00,2012,2,0.882340038824119,0.7602985994482272
260,2012-04-02 11:29:22.430000+00:00,2012,2,0.7698834191598837,0.6478419797839918
262,2012-04-09 17:56:56.110000+00:00,2012,6,0.9796459380415332,1.0180319097093136
