event_idx,event_time,lat,lon,depth,x,y,z,ex,ey,ez,nccp,nccs,nctp,ncts,cid,is_dtcc,n_used,ml_ufraw_reloc,ml_ufcorr_reloc,ml_ufcorr_old,dml
220,2011-12-01 15:59:50.810000+00:00,35.716394,129.365413,9.927,-1309.0,-4177.5,-1398.9,0.3,0.8,0.2,12,7,536,544,1,True,3.0,0.43024118083279683,0.4673282374407637,0.4793265747227834,-0.011998337282019711
223,2011-12-07 17:58:05.940000+00:00,35.882263,129.393449,14.84,1226.0,14226.4,3513.3,0.2,0.1,0.2,0,0,17,28,1,False,4.0,0.5772301607194255,0.560568616419246,0.576931617585669,-0.016363001166422975
224,2011-12-19 10:33:15.300000+00:00,35.713798,129.353768,9.303,-2362.5,-4465.5,-2023.8,1.6,2.7,1.2,0,0,798,802,1,False,4.0,0.6082444302857452,0.6952087427550019,0.7131569119289903,-0.01794816917398845
225,2011-12-20 10:23:54.789999+00:00,35.800557,129.384863,12.404,450.3,5160.8,1078.1,0.2,0.2,0.3,0,0,622,679,1,False,2.0,0.4835446401843574,0.3637618507443744,0.410127145179925,-0.0463652944355506
227,2011-12-21 12:34:19.399999+00:00,35.856856,129.427515,12.437,4305.2,11407.4,1111.1,0.4,0.4,0.5,0,2,38,36,1,True,3.0,0.9528407110368295,0.9899277676447964,1.0182401731550803,-0.02831240551028391
230,2011-12-27 06:54:14.470000+00:00,35.720764,129.367269,10.078,-1141.1,-3692.6,-1247.9,0.1,0.1,0.1,46,57,524,515,1,True,4.0,1.9553698541058409,2.001851166926044,2.008500156510962,-0.006648989584918219
232,2011-12-30 13:34:56.270000+00:00,35.713904,129.380542,12.696,59.6,-4453.8,1369.2,0.3,0.5,0.2,0,0,479,490,1,False,3.0,0.48563715010446806,0.5227242067124345,0.5270865876467178,-0.004362380934283316
236,2012-01-14 09:35:07.129999+00:00,35.7158,129.351969,10.167,-2525.2,-4243.4,-1159.3,0.5,1.0,0.4,1,3,592,605,1,True,2.0,0.3698556196319699,0.2500728301919869,0.2651694023675151,-0.015096572175528178
240,2012-01-26 08:31:14.109999+00:00,35.691366,129.358496,11.259,-1935.0,-6954.5,-67.3,0.6,0.7,0.4,1,2,592,586,1,True,4.0,0.7583371770999328,0.7842078414797966,0.8046103837753121,-0.020402542295515524
241,2012-02-06 17:36:51.119999+00:00,35.696973,129.365682,10.693,-1284.8,-6332.4,-633.3,0.3,0.4,0.3,0,0,553,556,1,False,2.0,0.7336391178003903,0.6138563283604073,0.6052231098869909,0.00863321847341636
243,2012-02-10 08:40:44.509999+00:00,35.767318,129.363867,13.13,-1448.4,1472.7,1803.9,1.0,1.5,0.9,1,0,449,460,1,True,2.0,0.5797948889092783,0.46001209946929533,0.5018019415575465,-0.041789842088251206
244,2012-02-18 06:29:01.960000+00:00,35.792688,129.362923,9.506,-1533.5,4287.7,-1820.4,0.2,0.3,0.3,4,1,561,534,1,True,4.0,0.7563666556184524,0.8731943946720454,0.888943637231864,-0.015749242559818577
247,2012-02-23 22:36:12.320000+00:00,35.781217,129.389193,13.038,841.9,3015.0,1711.4,0.8,1.1,0.9,6,0,835,826,1,True,4.0,0.8717336463929911,0.9475615569836146,0.9836015167460256,-0.036039959762411033
248,2012-03-11 03:29:53.590000+00:00,35.721342,129.367318,10.035,-1136.7,-3628.5,-1291.3,0.1,0.1,0.1,51,62,684,693,1,True,3.0,0.5781305937750512,0.6152176503830176,0.6131511682272535,0.0020664821557641044
249,2012-03-12 01:14:57.880000+00:00,35.714319,129.400488,7.925,1864.1,-4407.8,-3401.3,0.2,0.3,0.1,11,6,573,526,1,True,5.0,0.917760791073202,0.7686397770902582,0.8165843730256781,-0.04794459593541989
250,2012-03-12 17:30:02.580000+00:00,35.714132,129.400269,7.905,1844.2,-4428.5,-3421.4,0.2,0.3,0.1,12,7,574,576,1,True,6.0,1.7972075449030587,1.7856334637794968,1.8261497668147784,-0.04051630303528153
251,2012-03-15 16:48:45.640000+00:00,35.783065,129.333114,14.249,-4229.2,3219.9,2922.2,0.3,0.3,0.4,0,0,228,209,1,False,3.0,0.5638501162436842,0.5902004082820018,0.6154597576806908,-0.025259349398689013
252,2012-03-18 19:34:07.540000+00:00,35.729944,129.3677,12.485,-1102.0,-2674.1,1159.0,0.3,0.5,0.3,0,0,321,479,1,False,2.0,0.12166507582802699,0.0018822863880439966,-0.0523912345157313,0.054273520903775296
254,2012-03-21 11:41:58.060000+00:00,35.714254,129.400464,7.91,1861.9,-4415.0,-3416.5,0.2,0.3,0.1,11,5,479,442,1,True,3.0,0.7878554178424968,0.511202782354564,0.5727765776884655,-0.061573795333901504
256,2012-03-24 11:06:54.469999+00:00,35.713831,129.355754,10.127,-2182.9,-4461.9,-1199.3,0.2,0.7,0.3,2,6,612,615,1,True,3.0,0.5084504822208762,0.4983541180840507,0.4822447678998249,0.016109350184225824
258,2012-03-28 11:32:30.620000+00:00,35.712227,129.355688,10.0,-2188.8,-4639.8,-1326.1,0.3,0.6,0.2,4,9,728,750,1,True,2.0,0.8615207195859648,0.7417379301459818,0.7602985994482272,-0.018560669302245425
260,2012-04-02 11:29:22.550000+00:00,35.702104,129.400627,10.422,1876.7,-5763.1,-904.3,0.4,0.8,0.3,0,0,677,639,1,False,2.0,0.7258472060171872,0.6060644165772042,0.6478419797839918,-0.041777563206787605
262,2012-04-09 17:56:56.100000+00:00,35.712345,129.354338,10.12,-2311.0,-4626.7,-1206.3,0.3,1.1,0.3,3,2,679,679,1,True,6.0,0.9773740100155691,1.0021360660116991,1.0180319097093136,-0.01589584369761443
