event_idx,event_time,year,ml_invariant,ml_epoch,ml_epoch_cons
26,2010-04-03 15:49:01.110000+00:00,2010,0.5715342797722001,0.40346851578628495,0.5670959477152726
27,2010-04-04 12:21:12.390000+00:00,2010,0.6858181025140389,0.601896206124778,0.6812583628260418
28,2010-04-04 18:14:29.890000+00:00,2010,0.7770375199799533,0.7295638080280409,0.7739572398949592
30,2010-04-09 00:37:22.020000+00:00,2010,0.7119836376360971,0.6463111593538564,0.6699597732159187
31,2010-04-10 08:08:57.830000+00:00,2010,0.9833931444572175,1.0565114845393075,0.9816709163441566
32,2010-04-10 17:59:48.330000+00:00,2010,0.20828879882975312,0.14261632054751255,0.1662649344095748
33,2010-04-16 08:49:19.870000+00:00,2010,1.1306823003223017,0.9565956374533489,0.8933375270195738
34,2010-04-19 07:00:03.370000+00:00,2010,1.063407724042557,0.889321061173604,0.826062950739829
35,2010-04-20 13:22:48.020000+00:00,2010,0.9259645941137199,0.8557657961997893,0.8463551973302907
36,2010-05-06 07:40:43.210000+00:00,2010,1.054966631818424,1.0916874392398581,0.9753572350349948
37,2010-05-07 15:09:27.990000+00:00,2010,0.33911919021404946,0.3758399976354835,0.25950979343062025
38,2010-05-11 02:50:02.600000+00:00,2010,1.0723351814282949,1.129637705675856,1.070612953315234
39,2010-05-20 11:06:04.670000+00:00,2010,0.6587824783289281,0.5931100000466876,0.6167586139087498
40,2010-05-22 03:50:21.420000+00:00,2010,1.2619537118970499,0.87705957873771,0.8668735620750232
41,2010-05-27 16:29:58.210000+00:00,2010,1.1468706036246306,0.9788048396387153,1.142432271567703
42,2010-05-27 19:06:41.900000+00:00,2010,1.586437030115158,1.418371266129243,1.5819986980582306
43,2010-05-31 17:04:39.350000+00:00,2010,0.36338140669506136,0.19531564270914625,0.35894307463813396
44,2010-06-07 08:23:42.820000+00:00,2010,0.9126708353330415,0.7619031096397328,0.6986449992059578
45,2010-06-11 00:59:56.150000+00:00,2010,0.9358909718669814,0.7678252078810663,0.931452639810054
46,2010-06-11 05:44:34.630000+00:00,2010,0.925811000914278,0.9625318083357121,0.8462016041308489
47,2010-06-12 22:07:28.760000+00:00,2010,0.8856939991177463,0.8505921164468531,0.8060846023343171
48,2010-06-14 00:57:53.900000+00:00,2010,0.9092991488352571,0.8436266705530165,0.8672752844150787
49,2010-06-14 19:32:37.950000+00:00,2010,0.7088722078518028,0.580880292519487,0.5939479129929658
50,2010-06-15 05:40:15.630000+00:00,2010,0.5857007997338332,0.5200283214515926,0.5436769353136548
51,2010-06-16 20:44:10.440000+00:00,2010,0.9520077672144318,0.80124397142917,0.8456374032960883
52,2010-06-17 19:14:20.250000+00:00,2010,0.31548073193775256,0.249808253655512,0.27345686751757425
53,2010-06-18 06:14:34.270000+00:00,2010,1.2417861388474403,1.0676994759784872,1.0044413655447122
54,2010-06-22 02:44:28.570000+00:00,2010,0.4076377204619695,0.34196524217972896,0.3656138560417912
55,2010-06-23 03:40:54.100000+00:00,2010,0.30211599797910865,0.3388368054005427,0.22250660119567944
56,2010-06-23 04:19:34.010000+00:00,2010,0.4181656633839724,0.4548864708054064,0.33855626660054317
57,2010-06-25 01:16:37.340000+00:00,2010,1.0318786220339993,0.7173770854725066,0.7071910688098197
58,2010-06-27 02:50:44.420000+00:00,2010,0.7354935130170239,0.5614068501480711,0.4981487397142961
59,2010-07-16 19:26:57.350000+00:00,2010,1.0883216077232798,1.0043997113340186,1.0837618680352825
60,2010-07-22 03:46:47.610000+00:00,2010,0.44179369794337064,0.28590580140474575,0.24339250897582684
61,2010-07-23 09:31:45.080000+00:00,2010,1.2665627461543791,1.0924760832854263,1.0418678673821478
