event_idx,event_time,year,ml_nb09,ml_kigam
34,2010-04-19 07:00:03.370000+00:00,2010,1.0633267465221719,0.8850385188556198
35,2010-04-20 13:22:48.020000+00:00,2010,0.9254782047927029,0.7894621627498754
36,2010-05-06 07:40:43.210000+00:00,2010,1.054480242497407,0.9184642004545794
37,2010-05-07 15:09:27.990000+00:00,2010,0.3386328008930325,0.2026167588502049
38,2010-05-11 02:50:02.600000+00:00,2010,1.0723772123711062,1.0719227137603424
39,2010-05-20 11:06:04.670000+00:00,2010,0.6585170000909821,0.5067117456836667
40,2010-05-22 03:50:21.420000+00:00,2010,1.2622781461772965,1.0417177328870202
41,2010-05-27 16:29:58.210000+00:00,2010,1.1468260364697556,0.9792315696979521
42,2010-05-27 19:06:41.900000+00:00,2010,1.586392462960283,1.4187979961884796
43,2010-05-31 17:04:39.350000+00:00,2010,0.3633368395401865,0.195742372768383
44,2010-06-07 08:23:42.820000+00:00,2010,0.9124053570950954,0.7576205673217487
45,2010-06-11 00:59:56.150000+00:00,2010,0.9358464047121066,0.7682519379403031
46,2010-06-11 05:44:34.630000+00:00,2010,0.9253246115932611,0.7893085695504335
47,2010-06-12 22:07:28.760000+00:00,2010,0.8852076097967293,0.7491915677539017
48,2010-06-14 00:57:53.900000+00:00,2010,0.909033670597311,0.7572284161899956
49,2010-06-14 19:32:37.950000+00:00,2010,0.7088276406969279,0.5952576734380745
50,2010-06-15 05:40:15.630000+00:00,2010,0.5854353214958872,0.4336300670885717
51,2010-06-16 20:44:10.440000+00:00,2010,0.9521477007771177,0.7646919325837672
52,2010-06-17 19:14:20.250000+00:00,2010,0.31521525369980663,0.1634099992924911
53,2010-06-18 06:14:34.270000+00:00,2010,1.241705161327055,1.063416933660503
54,2010-06-22 02:44:28.570000+00:00,2010,0.4073722422240236,0.25556698781670806
55,2010-06-23 03:40:54.100000+00:00,2010,0.30162960865809163,0.16561356661526408
56,2010-06-23 04:19:34.010000+00:00,2010,0.41767927406295535,0.2816632320201278
57,2010-06-25 01:16:37.340000+00:00,2010,1.0318340548791243,0.8642395881073209
58,2010-06-27 02:50:44.420000+00:00,2010,0.7354125354966388,0.5571243078300869
59,2010-07-16 19:26:57.350000+00:00,2010,1.088242088038807,0.957209117198252
60,2010-07-22 03:46:47.610000+00:00,2010,0.4419769305548996,0.3314694746043797
61,2010-07-23 09:31:45.080000+00:00,2010,1.266481768633994,1.1299448330107007
62,2010-07-30 07:53:18.520000+00:00,2010,0.8478919193198293,0.6696036916532775
63,2010-08-02 05:59:43.150000+00:00,2010,1.1225576707516978,0.9019972574614216
64,2010-08-02 19:26:50.760000+00:00,2010,0.8677106803081416,0.7994754099813459
65,2010-08-04 02:00:15.770000+00:00,2010,0.45872542511991127,0.3069201707125958
66,2010-08-04 02:56:51.520000+00:00,2010,0.5939646620539254,0.3734042487636492
67,2010-08-15 12:23:28.180000+00:00,2010,0.6547477952028165,0.5029425407955009
68,2010-08-17 05:20:51.680000+00:00,2010,0.8238803087799621,0.6562858420081586
69,2010-08-20 03:41:20.030000+00:00,2010,0.37604903917139315,0.22424378476407764
70,2010-08-23 06:00:41.780000+00:00,2010,0.7839484062252073,0.736485419465172
71,2010-08-23 06:13:25.710000+00:00,2010,0.8585062883664472,0.7670967202426646
72,2010-08-31 14:40:58.300000+00:00,2010,0.5689050536255076,0.4744335787162006
73,2010-09-03 08:55:47.840000+00:00,2010,1.3222402398103952,1.3217857411996314
74,2010-09-06 06:58:02.040000+00:00,2010,0.9864217349658345,0.8504056929230069
