event_idx,time,lat,lon,depth,num,gap,rms,erh,erz,qual,year,cluster,magnitude,magnitude_std,n_used,n_total,snr_median,mag_status,ml_all,mv_nP,mv_app,mv_rms,mv_rho,mv_inlier,coherence_fail
1574,2016-09-12 12:11:08.470,35.7613,129.1944,15.17,22,66,0.08,0.3,0.6,A,2016,34,1.218723680710866,0.2249305023045577,11,13,19.38302380532756,ok,1.2313097676973557,10.0,6.8377539388148385,9.705843417660653,0.709090909090909,0.0,True
1580,2016-09-12 12:13:38.010,35.7536,129.1877,15.74,13,114,0.05,0.5,0.8,B,2016,34,0.8336837839112644,0.1929516372077955,10,13,7.225457707486868,ok,0.8336837839112644,8.0,6.836248565145591,5.916347470232973,0.7380952380952381,0.0,True
1590,2016-09-12 12:17:39.560,35.7765,129.182,12.67,15,113,0.07,0.4,0.8,B,2016,34,0.4337857910484652,0.3064624214931184,3,13,4.896840729528724,ok,0.6075642650594963,5.0,7.373945889666123,11.468903407044747,0.7,0.0,True
1592,2016-09-12 12:18:46.810,35.7597,129.19,15.09,10,117,0.19,0.8,1.3,B,2016,34,0.6639473830369471,0.2452370077528204,4,13,5.4767484952423855,ok,0.6639473830369471,5.0,10.493349063452651,10.668311840746442,0.19999999999999998,0.0,True
1598,2016-09-12 12:22:45.510,35.775,129.2074,14.48,7,129,0.04,0.7,1.3,B,2016,34,1.0829255244969067,0.2397300979197804,2,13,3.413417177994217,ok,1.0829255244969067,6.0,7.162798272573734,1.8184786406196702,0.8857142857142858,0.0,True
1604,2016-09-12 12:25:24.030,35.7743,129.1872,12.59,17,78,0.1,0.4,0.8,A,2016,34,1.000607912617103,0.2343230644875407,8,13,7.540737650544846,ok,0.9949651398364728,7.0,2.7939877517243183,7.594615067496576,0.9642857142857145,0.2857142857142857,True
1617,2016-09-12 12:31:47.120,35.764,129.1828,15.29,7,133,0.07,0.7,1.2,B,2016,34,0.8127462705620505,0.2165959414626415,7,13,7.977485211281488,ok,0.8127462705620505,7.0,5.3346192539873885,6.44992058431894,0.9642857142857145,0.42857142857142855,True
1624,2016-09-12 12:35:30.670,35.7674,129.1878,9.2,8,120,0.33,1.0,3.2,C,2016,34,0.6885005122635008,0.137180671532479,3,13,3.81700070581395,ok,0.6885005122635008,5.0,1.533325435903548,4.098139966718287,0.9999999999999999,0.2,True
1647,2016-09-12 12:50:10.630,35.7605,129.1977,9.79,6,149,0.33,1.8,3.7,C,2016,34,0.570646968958679,0.3850457347220308,2,13,4.387448214660128,ok,0.570646968958679,6.0,7.3356457316229315,1.54897384723562,0.8285714285714287,0.0,True
1648,2016-09-12 12:50:17.420,35.7345,129.1887,11.78,9,112,0.36,1.2,1.9,C,2016,34,0.5746636103936669,0.2504129120958238,4,13,4.443086304774793,ok,0.5746636103936669,6.0,7.733747911205794,1.5156858733200116,0.8285714285714287,0.0,True
1649,2016-09-12 12:51:02.440,35.7099,129.1813,11.65,7,129,0.4,2.1,2.4,C,2016,-1,0.5722243951556564,0.1562433388804787,4,13,6.413399122841603,ok,0.6323376797921838,8.0,10.184157322187302,11.39333280688391,0.11904761904761905,0.0,True
1656,2016-09-12 12:54:44.230,35.783,129.2053,13.58,11,132,0.05,0.5,1.0,B,2016,34,,,0,13,2.601455713554188,low_snr,,5.0,99.0,2.206555166611226,-0.3,0.4,True
1676,2016-09-12 13:07:48.810,35.757,129.1817,14.27,14,114,0.06,0.5,0.8,B,2016,34,1.0482778892426905,0.2751697140182493,3,13,5.993631226092262,ok,1.0482778892426905,9.0,7.6328816034576255,1.054653245109214,0.7999999999999999,0.4444444444444444,True
1678,2016-09-12 13:08:38.940,35.758,129.1938,15.6,23,66,0.08,0.3,0.6,A,2016,34,2.178729865288873,0.2228116279610026,12,13,22.94781455363883,ok,2.161302792929669,8.0,8.156274082770063,3.611476471806628,0.2380952380952381,0.25,True
1708,2016-09-12 13:25:07.960,35.7812,129.1826,12.95,10,79,0.21,0.7,1.7,B,2016,34,0.6042201766953847,0.2354883082855347,3,13,4.894706184832966,ok,0.7084273172904936,5.0,0.7195554522284707,13.077743791810004,0.8999999999999998,0.2,True
1710,2016-09-12 13:26:03.340,35.7958,129.2135,5.21,9,92,0.24,0.7,2.6,B,2016,-1,0.6313307022021726,0.2533432387892086,5,13,5.202290357310006,ok,0.6313307022021726,6.0,4.941212250082664,7.185649120800987,0.8285714285714287,0.3333333333333333,True
1721,2016-09-12 13:35:25.040,35.7633,129.1966,15.29,19,67,0.05,0.4,0.7,A,2016,34,1.1806691439954005,0.192878545817392,9,13,11.38347279124904,ok,1.0954791887876745,6.0,10.815499860671604,3.0459141023668352,0.3714285714285715,0.16666666666666666,True
