net,sta,start,end,n_days
KS,GGDA,2026-01-04,2026-05-09,126
KS,GGDA,2026-05-14,2026-05-14,1
KS,GGDA,2026-05-17,2026-05-17,1
KS,GGDA,2026-07-14,2026-07-16,3
KS,GGGA,2024-11-01,2025-12-31,426
KS,GGGA,2026-01-04,2026-05-09,126
KS,GGGA,2026-05-14,2026-05-14,1
KS,GGGA,2026-05-17,2026-05-17,1
KS,GGGA,2026-07-14,2026-07-16,3
KS,GIGA,2018-03-09,2018-07-10,124
KS,GIGA,2018-07-12,2018-12-31,173
KS,GIGA,2024-11-01,2025-12-31,426
KS,GIGA,2026-01-04,2026-05-09,126
KS,GIGA,2026-05-14,2026-05-14,1
KS,GIGA,2026-05-17,2026-05-17,1
KS,GIGA,2026-07-14,2026-07-16,3
KS,GSNA,2024-11-01,2025-12-31,426
KS,GSNA,2026-01-04,2026-05-09,126
KS,GSNA,2026-05-14,2026-05-14,1
KS,GSNA,2026-05-17,2026-05-17,1
KS,GSNA,2026-07-14,2026-07-16,3
KS,GUM,2018-11-11,2026-07-16,2805
KS,GUMA,2018-12-19,2025-12-31,2570
KS,GUMA,2026-01-02,2026-01-02,1
KS,GUMA,2026-01-04,2026-05-09,126
KS,GUMA,2026-05-14,2026-05-14,1
KS,GUMA,2026-05-17,2026-05-17,1
KS,GUMA,2026-07-14,2026-07-16,3
KS,GUWB,2016-12-16,2017-06-05,172
KS,GUWB,2021-05-03,2021-05-03,1
KS,GUWB,2022-06-03,2022-06-04,2
KS,GUWB,2024-11-01,2025-12-31,426
KS,GUWB,2026-01-04,2026-05-09,126
KS,GUWB,2026-05-14,2026-05-14,1
KS,GUWB,2026-05-17,2026-05-17,1
KS,GUWB,2026-07-14,2026-07-16,3
KS,HMGA,2022-09-06,2022-09-07,2
KS,HMGA,2024-11-01,2025-12-31,426
KS,HMGA,2026-01-04,2026-05-09,126
KS,HMGA,2026-05-14,2026-05-14,1
KS,HMGA,2026-05-17,2026-05-17,1
KS,HMGA,2026-07-14,2026-07-16,3
KS,HYDAT,2022-11-29,2026-07-16,1326
KS,JEJB,2016-12-16,2017-06-05,172
KS,JEJB,2022-09-23,2022-09-23,1
KS,JEJB,2024-07-25,2024-07-25,1
KS,JEJB,2024-08-19,2024-08-22,4
KS,JEJB,2024-08-31,2024-09-02,3
KS,JEJB,2024-11-01,2025-12-31,426
KS,JEJB,2026-01-03,2026-05-09,127
KS,JEJB,2026-05-14,2026-05-14,1
KS,JEJB,2026-05-17,2026-05-17,1
KS,JEJB,2026-05-27,2026-05-27,1
KS,JEJB,2026-07-14,2026-07-16,3
KS,JKJA,2018-12-19,2019-03-17,89
KS,JKJA,2024-11-01,2025-12-31,426
KS,JKJA,2026-01-03,2026-05-09,127
KS,JKJA,2026-05-14,2026-05-14,1
KS,JKJA,2026-05-17,2026-05-17,1
KS,JKJA,2026-07-14,2026-07-16,3
KS,JNHA,2018-03-09,2025-12-31,2855
KS,JNHA,2026-01-03,2026-05-09,127
KS,JNHA,2026-05-14,2026-05-14,1
KS,JNHA,2026-05-17,2026-05-17,1
KS,JNHA,2026-07-14,2026-07-16,3
KS,JNYA,2021-08-24,2021-08-24,1
KS,JNYA,2024-11-01,2025-12-31,426
KS,JNYA,2026-01-03,2026-05-09,127
KS,JNYA,2026-05-14,2026-05-14,1
KS,JNYA,2026-05-17,2026-05-17,1
KS,JNYA,2026-07-14,2026-07-16,3
KS,JUCA,2024-11-01,2025-12-31,426
KS,JUCA,2026-01-03,2026-05-09,127
KS,JUCA,2026-05-14,2026-05-14,1
KS,JUCA,2026-05-17,2026-05-17,1
KS,JUCA,2026-07-14,2026-07-16,3
KS,KUM,2010-01-01,2026-07-16,6041
KS,MAS,2010-01-01,2016-05-31,2343
KS,MAS2,2016-05-31,2018-03-09,648
KS,MIY,2010-01-01,2026-07-16,6041
KS,MIYA,2011-10-05,2026-07-16,5399
KS,MLGA,2024-11-01,2025-12-31,426
KS,MLGA,2026-01-03,2026-07-16,195
KS,MSNA,2024-11-01,2025-12-31,426
KS,MSNA,2026-01-03,2026-05-09,127
KS,MSNA,2026-05-14,2026-05-14,1
KS,MSNA,2026-05-17,2026-05-17,1
KS,MSNA,2026-07-14,2026-07-16,3
KS,OADB,2021-11-13,2025-12-31,1510
KS,OADB,2026-01-03,2026-05-09,127
KS,OADB,2026-05-14,2026-05-14,1
KS,OADB,2026-05-17,2026-05-17,1
KS,OADB,2026-07-14,2026-07-16,3
KS,OGSB,2021-11-09,2022-01-04,57
KS,OGSB,2024-11-01,2025-12-31,426
KS,OGSB,2026-01-03,2026-05-09,127
KS,OGSB,2026-05-14,2026-05-14,1
KS,OGSB,2026-05-17,2026-05-17,1
KS,OGSB,2026-07-14,2026-07-16,3
