net,sta,start,end,n_days,source
KG,HDB,2023-12-19 00:00:00,2023-12-19 00:00:00,1,NECIS-or-kquake
KG,HDB,2024-05-01 00:00:00,2024-05-01 00:00:00,1,NECIS-or-kquake
KG,HDB,2024-08-22 00:00:00,2024-08-22 00:00:00,1,NECIS-or-kquake
KG,HDB,2024-10-14 00:00:00,2024-10-14 00:00:00,1,NECIS-or-kquake
KG,HDB,2024-11-01 00:00:00,2026-07-16 00:00:00,623,NECIS-or-kquake
KG,JUC,2019-02-08 00:00:00,2019-02-12 00:00:00,5,NECIS-or-kquake
KG,JUC,2021-08-06 00:00:00,2021-08-08 00:00:00,3,NECIS-or-kquake
KG,JUC,2022-10-01 00:00:00,2022-10-01 00:00:00,1,NECIS-or-kquake
KG,JUC,2022-10-18 00:00:00,2022-10-18 00:00:00,1,NECIS-or-kquake
KG,JUC,2022-11-12 00:00:00,2022-11-12 00:00:00,1,NECIS-or-kquake
KG,JUC,2022-12-24 00:00:00,2022-12-25 00:00:00,2,NECIS-or-kquake
KG,JUC,2023-01-25 00:00:00,2023-01-25 00:00:00,1,NECIS-or-kquake
KG,JUC,2023-02-01 00:00:00,2023-02-01 00:00:00,1,NECIS-or-kquake
KG,JUC,2024-08-04 00:00:00,2024-08-04 00:00:00,1,NECIS-or-kquake
KG,JUC,2024-11-01 00:00:00,2026-07-16 00:00:00,623,NECIS-or-kquake
KG,KRN,2010-01-01 00:00:00,2026-07-16 00:00:00,6041,NECIS-or-kquake
KG,MAK,2010-01-01 00:00:00,2011-11-03 00:00:00,672,NECIS-or-kquake
KG,MAK,2013-02-12 00:00:00,2013-02-12 00:00:00,1,NECIS-or-kquake
KG,MAK,2015-01-03 00:00:00,2015-12-31 00:00:00,363,NECIS-or-kquake
KG,MAK,2016-01-06 00:00:00,2016-01-06 00:00:00,1,NECIS-or-kquake
KG,MAK,2016-09-09 00:00:00,2016-09-09 00:00:00,1,NECIS-or-kquake
KG,MAK,2016-09-15 00:00:00,2016-09-19 00:00:00,5,NECIS-or-kquake
KG,MAK,2016-09-24 00:00:00,2016-09-25 00:00:00,2,NECIS-or-kquake
KG,MAK,2016-10-01 00:00:00,2016-10-05 00:00:00,5,NECIS-or-kquake
KG,MAK,2017-09-03 00:00:00,2017-09-03 00:00:00,1,NECIS-or-kquake
KG,MAK,2018-03-29 00:00:00,2018-03-29 00:00:00,1,NECIS-or-kquake
KG,MAK,2020-09-07 00:00:00,2020-09-07 00:00:00,1,NECIS-or-kquake
KG,MAK,2021-11-09 00:00:00,2021-11-09 00:00:00,1,NECIS-or-kquake
KG,MAK,2023-07-07 00:00:00,2023-07-09 00:00:00,3,NECIS-or-kquake
KG,MAK,2024-04-27 00:00:00,2024-04-27 00:00:00,1,NECIS-or-kquake
KG,MAK,2024-05-29 00:00:00,2024-05-29 00:00:00,1,NECIS-or-kquake
KG,MAK,2024-06-04 00:00:00,2024-06-04 00:00:00,1,NECIS-or-kquake
KG,MAK,2024-09-01 00:00:00,2024-09-01 00:00:00,1,NECIS-or-kquake
KG,MAK,2024-11-01 00:00:00,2026-07-16 00:00:00,623,NECIS-or-kquake
KG,MKL,2012-09-08 00:00:00,2012-09-11 00:00:00,4,NECIS-or-kquake
KG,MKL,2013-02-12 00:00:00,2013-02-12 00:00:00,1,NECIS-or-kquake
KG,MKL,2013-07-16 00:00:00,2013-07-16 00:00:00,1,NECIS-or-kquake
KG,MKL,2017-07-05 00:00:00,2017-07-06 00:00:00,2,NECIS-or-kquake
KG,MKL,2017-09-03 00:00:00,2017-09-03 00:00:00,1,NECIS-or-kquake
KG,MKL,2019-08-02 00:00:00,2019-08-05 00:00:00,4,NECIS-or-kquake
KG,MKL,2020-08-11 00:00:00,2020-08-11 00:00:00,1,NECIS-or-kquake
KG,MKL,2020-09-03 00:00:00,2020-09-03 00:00:00,1,NECIS-or-kquake
KG,MKL,2021-03-31 00:00:00,2021-03-31 00:00:00,1,NECIS-or-kquake
KG,MKL,2021-08-14 00:00:00,2021-08-15 00:00:00,2,NECIS-or-kquake
KG,MKL,2022-07-10 00:00:00,2022-07-11 00:00:00,2,NECIS-or-kquake
KG,MKL,2022-07-18 00:00:00,2022-07-20 00:00:00,3,NECIS-or-kquake
KG,MKL,2023-04-09 00:00:00,2023-04-09 00:00:00,1,NECIS-or-kquake
